Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
36,FedoraCoin,TIPS,7.51e-06,2388.50512695,3214409.56247501,427829009862.787,427829009862.787,,-0.05712,1.9521,-57.4875,2013-12-31T00:00:00.000Z,2024-09-23
37,Xaurum,XAUR,412.18664551,3424.12573242,3085848.52558124,7486.532034,7486.532034,,-2.38603,-10.8395,-6.93859,2015-04-21T00:00:00.000Z,2024-09-23
38,Scotcoin,SCOT,0.00277499,3434.92651367,2774985.27429998,1000000000.0,1000000000.0,,-2.69416,-15.745,26.2507,2014-05-26T00:00:00.000Z,2024-09-23
39,Rubycoin,RBY,0.11785648,887.17694092,2735505.28658374,23210478.3918339,23210478.3918339,,1.54042,-3.10323,12.2909,2014-03-20T00:00:00.000Z,2024-09-23
40,Feathercoin,FTC,0.02051646,2702.96630859,2608146.15734815,127124600.0,127124600.0,336000000.0,-0.568141,-6.088,-22.6248,2013-05-03T00:00:00.000Z,2024-09-23
41,Yocoin,YOC,0.13267322,141323.0625,2584255.39231524,19478350.0,301993900.0,,0.760335,38.5752,268.339,2016-01-21T00:00:00.000Z,2024-09-23
42,BitCrystals,BCY,0.05920163,9483.41796875,2497630.02269635,42188536.166149,42188536.166149,,4.05555,0.853639,0.207705,2015-09-14T00:00:00.000Z,2024-09-23
43,BlackCoin,BLK,0.03197894,12369.91699219,2415126.48665457,75522400.0962223,75522400.0962223,,-0.438764,-4.86262,-3.91394,2014-02-28T00:00:00.000Z,2024-09-23
44,HitCoin,HTC,0.00021569,3743.37963867,2371835.2251266,10996318099.0,20996318099.0,,-1.54291,-18.3863,-32.3789,2016-04-08T00:00:00.000Z,2024-09-23
45,DigiByte,DGB,0.00034833,20712.43945313,2351162.37748087,6749898014.65375,6749898014.65375,21000000000.0,-1.26948,0.030897,3.54114,2014-02-06T00:00:00.000Z,2024-09-23
