Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
1,Bitcoin,BTC,1036.73693848,406648256.0,16821627032.098349,16225550.0,16225550.0,21000000.0,-1.81586,5.90913,-15.2452,2013-04-28T00:00:00.000Z,2024-09-23
2,Ethereum,ETH,44.74007416,239430224.0,4022864776.5298095,89916363.624,89916363.624,,-3.59043,27.0995,87.022,2015-08-07T00:00:00.000Z,2024-09-23
3,Dash,DASH,108.22886658,44670068.0,776515978.3728833,7174758.48108753,7174758.48108753,18900000.0,-0.236173,1.65925,39.5751,2014-02-14T00:00:00.000Z,2024-09-23
4,Monero,XMR,23.28757095,22162458.0,329388123.3657108,14144374.440137,14144374.440137,,-1.91788,14.1511,38.8224,2014-05-21T00:00:00.000Z,2024-09-23
5,XRP,XRP,0.00691246,4241973.0,258098176.81777,37338114912.0,99995788498.0,100000000000.0,0.26361,1.53013,10.1392,2013-08-04T00:00:00.000Z,2024-09-23
6,Litecoin,LTC,3.95641303,6013045.5,198853205.58811688,50260982.3718871,50260982.3718871,84000000.0,-0.583098,-0.875063,2.81934,2013-04-28T00:00:00.000Z,2024-09-23
7,Ethereum Classic,ETC,1.92196751,6790523.0,172741632.63527954,89877499.0,89877499.0,210000000.0,-3.12885,11.6154,34.6829,2016-07-24T00:00:00.000Z,2024-09-23
8,NEM,XEM,0.01647445,2619468.5,148270066.81106132,8999999999.0,8999999999.0,,-4.70525,39.3241,64.8732,2015-04-01T00:00:00.000Z,2024-09-23
9,Augur,REP,8.43370628,1571221.625,92770769.11926274,11000000.0,11000000.0,,-0.902716,21.2721,16.2535,2015-10-27T00:00:00.000Z,2024-09-23
10,MaidSafeCoin,MAID,0.16617231,484811.53125,75201680.01940267,452552412.0,452552412.0,,-0.924511,7.32249,-4.57769,2014-04-28T00:00:00.000Z,2024-09-23
11,Zcash,ZEC,69.88610077,13536847.0,62974802.19111445,901106.25,901106.25,21000000.0,-2.20613,5.02999,72.785,2016-10-29T00:00:00.000Z,2024-09-23
12,Steem,STEEM,0.19807155,1740398.875,46349338.52037477,234003003.023,250977097.023,,-3.8325,-2.81996,169.116,2016-04-18T00:00:00.000Z,2024-09-23
13,Tether,USDT,1.00004601,33106478.0,44952930.96805704,44950862.563746,44950862.563746,,3.74641e-05,0.00277962,-0.00667563,2015-02-25T00:00:00.000Z,2024-09-23
14,Factom,FCT,3.60081291,1034692.8125,31518703.99665256,8753219.0,8753219.0,,-1.32589,6.10419,1.34155,2015-10-06T00:00:00.000Z,2024-09-23
15,DigixDAO,DGD,15.51381969,252153.640625,31027639.389038,2000000.0,2000000.0,,0.352972,15.0208,57.1431,2016-04-18T00:00:00.000Z,2024-09-23
16,Golem,GNT,0.03632393,473314.53125,29785623.47590924,820000000.0,1000000000.0,,-1.50242,20.2091,51.5935,2016-11-18T00:00:00.000Z,2024-09-23
17,Waves,WAVES,0.27830166,184119.109375,27830165.6246185,100000000.0,100000000.0,,3.50035,3.34671,9.50231,2016-06-02T00:00:00.000Z,2024-09-23
18,Decred,DCR,6.37700605,1300367.375,25888344.73987168,4059639.35441764,4899639.35441764,21000000.0,1.64158,5.04671,35.3851,2016-02-10T00:00:00.000Z,2024-09-23
19,Iconomi,ICN,0.29731292,188653.828125,25866223.63328936,87000000.0,100000000.0,,-4.16391,5.51534,-14.6964,2016-09-30T00:00:00.000Z,2024-09-23
20,Dogecoin,DOGE,0.00023508,335531.96875,25530585.94290906,108605813689.735,108605813689.735,,-0.443506,5.73915,5.20093,2013-12-15T00:00:00.000Z,2024-09-23
21,Melon,MLN,34.10079193,283953.125,20440014.68353269,599400.0,749400.0,,1.47532,20.3377,-28.5006,2017-02-21T00:00:00.000Z,2024-09-23
22,Lisk,LSK,0.1865548,423163.46875,19509058.22107016,104575480.0,104575480.0,,0.84231,7.8366,63.3121,2016-04-06T00:00:00.000Z,2024-09-23
23,Ardor,ARDR,0.01683915,124757.4765625,16822306.40681784,998999495.0,998999495.0,998999495.0,-2.41592,11.5442,3.19717,2016-07-23T00:00:00.000Z,2024-09-23
24,PIVX,PIVX,0.28654778,719375.4375,15035550.11914536,52471354.401028,52471354.401028,,6.0198,76.7627,323.521,2016-02-13T00:00:00.000Z,2024-09-23
25,GameCredits,GAME,0.24139221,187800.4375,14824179.25967983,61411175.0,61411175.0,84000000.0,-0.414142,0.368591,6.97635,2014-09-01T00:00:00.000Z,2024-09-23
26,Stellar,XLM,0.00191607,433766.375,13388144.09660795,6987295521.0,102646433897.0,,-0.258036,1.005,1.93668,2014-08-05T00:00:00.000Z,2024-09-23
27,Peercoin,PPC,0.54634494,314125.75,13089463.24881085,23958240.2779883,23958240.2779883,,0.118993,5.58196,29.4087,2013-04-28T00:00:00.000Z,2024-09-23
28,ShadowCash,SDC,1.89533412,1260686.625,12587503.24774903,6641310.93542,6641310.93542,,-0.823125,-3.23523,-36.5086,2014-07-31T00:00:00.000Z,2024-09-23
29,BitShares,BTS,0.00479726,363131.75,12424382.44878779,2589890000.0,2589890000.0,3600570502.0,-0.976293,5.73424,27.7726,2014-07-21T00:00:00.000Z,2024-09-23
30,Emercoin,EMC,0.30986109,139865.359375,12308126.3253719,39721431.871416,39721431.871416,,3.04548,16.834,22.1315,2014-08-23T00:00:00.000Z,2024-09-23
