Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date,halving_survive
278,Casper,CSPR,$0.01205,0.82%,5.60%,9.17%,"$148,425,836","$5,102,331
420,669,111 CSPR","12,322,453,215 CSPR",12929330358.0,,0,,,,,,,177.0,2024-09-23,0
288,Ozone Chain,OZO,$0.2386,0.20%,0.29%,0.57%,"$136,862,378","$259,204
1,085,565 OZO","573,491,638 OZO",1000000000.0,1000000000.0,0,,,,,,,440.0,2024-09-23,0
291,RSS3,RSS3,$0.1355,0.92%,5.26%,22.76%,"$133,792,832","$8,286,815
61,349,528 RSS3","987,525,011 RSS3",1000000000.0,1000000000.0,0,,,,,,,268.0,2024-09-23,0
305,IQ,IQ,$0.006527,2.12%,16.97%,37.57%,"$123,436,925","$180,151,515
27,434,759,748 IQ","18,912,501,356 IQ",18912501355.929,21000000000.0,0,,,,,,,316.0,2024-09-23,0
306,NetMind Token,NMT,$3.68,1.66%,27.68%,100.63%,"$123,184,733","$11,030,279
2,992,785 NMT","33,450,208 NMT",147571073.2,147571163.0,0,,,,,,,2477.0,2024-09-23,0
315,iExec RLC,RLC,$1.64,0.46%,0.82%,16.48%,"$118,860,235","$6,219,670
3,791,857 RLC","72,382,548 RLC",86999784.9868455,86999785.0,0,,,,,167.0,129.0,273.0,2024-09-23,1
323,Numeraire,NMR,$15.59,0.44%,1.46%,16.53%,"$114,439,064","$6,637,357
426,804 NMR","7,339,116 NMR",10714570.65757843,11000000.0,0,,,,,113.0,114.0,320.0,2024-09-23,1
328,Marlin,POND,$0.01369,0.16%,0.92%,14.46%,"$110,675,773","$6,002,853
438,350,137 POND","8,087,375,977 POND",10000000000.0,,0,,,,,,556.0,290.0,2024-09-23,1
336,Sleepless AI,AI,$0.4944,0.56%,11.22%,36.05%,"$107,526,966","$48,464,323
98,274,350 AI","217,500,000 AI",1000000000.0,1000000000.0,0,,,,,,,342.0,2024-09-23,0
347,inSure DeFi,SURE,$0.003843,0.00%,4.39%,1.63%,"$102,967,192","$429,326
111,702,306 SURE","26,790,063,175 SURE",88000000000.0,88000000000.0,0,,,,,,,349.0,2024-09-23,0
359,Nosana,NOS,$2.03,0.02%,0.82%,9.86%,"$97,649,048","$1,249,652
616,915 NOS","48,197,665 NOS",100000000.0,,0,,,,,,,2562.0,2024-09-23,0
