Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date,halving_survive
5540,Galaxy Fox,GFOX,$0.0001354,0.75%,2.64%,18.26%,"$676,810","$1,769
13,068,948 GFOX","5,000,000,000 GFOX",5000000000.0,5000000000.0,1,,,,,,,4475.0,2024-09-23,0
5584,Aavegotchi FOMO,FOMO,$0.0004855,2.27%,12.95%,27.22%,"$9,664","$1,615
3,325,251 FOMO","19,903,353 FOMO",10148157974.841404,50000000000.0,1,,,,,,,6301.0,2024-09-23,0
5611,Champz,CHAMPZ,$0.001502,1.77%,3.52%,9.86%,"$1,502,425","$1,506
1,002,227 CHAMPZ","1,000,000,000 CHAMPZ",1000000000.0,1000000000.0,1,,,,,,,5145.0,2024-09-23,0
5663,Titanium22,TI,$0.091591,0.00%,3.68%,1.46%,"$35,352","$1,325
8,327,172,281,017 TI","222,222,222,222,222 TI",222222222222222.0,222222222222222.0,1,,,,,,,4476.0,2024-09-23,0
5751,Pegaxy,PGX,$0.004299,0.00%,0.52%,7.91%,"$1,864,385","$1,111
258,481 PGX","433,712,625 PGX",1000000000.0,1000000000.0,1,,,,,,,5822.0,2024-09-23,0
5769,Anima Spirit Gem,ASG,$0.0008656,0.00%,3.32%,0.81%,"$86,558","$1,065
1,230,185 ASG","100,000,000 ASG",100000000.0,,1,,,,,,,6071.0,2024-09-23,0
5788,Spintop,SPIN,$0.004278,0.05%,1.61%,9.86%,"$1,798,650","$1,035
241,828 SPIN","420,411,050 SPIN",126868993.0,1000000000.0,1,,,,,,,4609.0,2024-09-23,0
5809,BoxBet,BXBT,$0.04565,0.00%,3.87%,10.95%,"$4,564,523","$986
21,599 BXBT","100,000,000 BXBT",100000000.0,100000000.0,1,,,,,,,4730.0,2024-09-23,0
5810,Titan Hunters,TITA,$0.003198,0.01%,1.52%,8.71%,"$211,858","$982
307,236 TITA","66,250,000 TITA",1000000000.0,1000000000.0,1,,,,,,,4727.0,2024-09-23,0
5829,Realm Anima,ANIMA,$0.007746,0.62%,1.55%,5.90%,"$73,617","$944
121,801 ANIMA","9,503,507 ANIMA",9503506.91,750000000.0,1,,,,,,,5533.0,2024-09-23,0
5981,xPET tech BPET,BPET,$0.01011,0.00%,1.04%,12.07%,"$81,410","$655
64,736 BPET","8,049,427 BPET",37273429.0,,1,,,,,,,4935.0,2024-09-23,0
6002,Tongochi,PET,$0.001476,0.00%,4.17%,4.55%,"$134,447","$624
422,959 PET","91,085,000 PET",143263899.0,1000000000.0,1,,,,,,,5672.0,2024-09-23,0
6074,Sugar Kingdom Odyssey,SKO,$0.002527,0.00%,4.71%,1.83%,"$116,242","$542
214,450 SKO","46,000,000 SKO",25553333.0,,1,,,,,,,4240.0,2024-09-23,0
6080,Soul Society,HON,$0.000015,0.01%,35.41%,37.29%,$485,"$534
35,577,377 HON","32,354,706 HON",1000000000.0,1000000000.0,1,,,,,,,3384.0,2024-09-23,0
6108,Wanaka Farm,WANA,$0.003024,0.02%,0.55%,3.45%,"$524,704","$504
166,561 WANA","173,520,265 WANA",499964148.0,500000000.0,1,,,,,,,7561.0,2024-09-23,0
6178,DeFi Warrior (FIWA),FIWA,$0.00005934,0.11%,2.64%,0.99%,"$30,858","$439
7,404,728 FIWA","520,000,000 FIWA",10000000000.0,10000000000.0,1,,,,,,,4169.0,2024-09-23,0
6194,Space Misfits,SMCW,$0.0006737,0.00%,9.42%,11.84%,"$32,606","$427
634,272 SMCW","48,394,393 SMCW",200000000.0,,1,,,,,,,4116.0,2024-09-23,0
6234,BunnyPark,BP,$0.001973,0.18%,1.76%,18.20%,"$154,269","$398
201,564 BP","78,204,970 BP",136126303.476897,,1,,,,,,,4827.0,2024-09-23,0
6246,Hamsters,HAMS,$0.0033,15.40%,5.75%,94.10%,"$32,997","$386
116,857 HAMS","10,000,000 HAMS",10000000.0,10000000.0,1,,,,,,,9577.0,2024-09-23,0
6286,Planet Sandbox,PSB,$0.002977,0.00%,0.24%,7.75%,"$15,736","$349
117,298 PSB","5,286,194 PSB",25604027.566666,100000000.0,1,,,,,,,3751.0,2024-09-23,0
6363,Knights of Cathena,CGO,$0.00002671,0.47%,0.63%,2.71%,"$46,849","$298
11,144,804 CGO","1,753,683,502 CGO",100722581141.0,100722581141.0,1,,,,,,,,2024-09-23,0
6426,Snook,SNK,$0.001984,0.00%,17.07%,0.55%,"$51,633","$258
130,217 SNK","26,027,079 SNK",39999374.807732,40000000.0,1,,,,,,,4883.0,2024-09-23,0
6429,Stella Fantasy,SFTY,$0.001141,0.00%,0.92%,2.77%,"$67,347","$258
225,917 SFTY","59,000,000 SFTY",1000000000.0,1000000000.0,1,,,,,,,5308.0,2024-09-23,0
6433,MEGAWEAPON,WEAPON,$0.3104,0.00%,0.74%,17.11%,"$3,103,728","$256
825 WEAPON","10,000,000 WEAPON",10000000.0,,1,,,,,,,4726.0,2024-09-23,0
6505,Infinity Skies,ISKY,$0.002747,0.01%,2.97%,6.38%,"$42,631","$220
80,041 ISKY","15,520,000 ISKY",18360936.0,,1,,,,,,,5555.0,2024-09-23,0
6511,X Protocol,POT,$0.003769,0.13%,5.95%,2.89%,"$17,901","$216
57,445 POT","4,750,000 POT",4750000.0,21000000.0,1,,,,,,,4833.0,2024-09-23,0
6625,ChainCade,CHAINCADE,$0.081064,0.00%,3.15%,16.00%,"$505,765","$163
153,068,782,044 CHAINCADE","475,420,332,142,668 CHAINCADE",1000000000000000.0,1000000000000000.0,1,,,,,,,8159.0,2024-09-23,0
6630,Hero Arena,HERA,$0.001415,0.03%,3.43%,22.46%,"$8,127","$160
113,034 HERA","5,743,750 HERA",100000000.0,100000000.0,1,,,,,,,4871.0,2024-09-23,0
6660,Solana Poker,PLAY,$0.004971,0.00%,0.87%,11.69%,"$497,083","$149
29,960 PLAY","100,000,000 PLAY",100000000.0,,1,,,,,,,,2024-09-23,0
6674,EXTOCIUM,XTO,$0.01483,0.00%,0.60%,7.33%,"$28,183,926","$146
9,842 XTO","1,900,000,000 XTO",0.0,2100000000.0,1,,,,,,,6998.0,2024-09-23,0
6677,Echo Of The Horizon,EOTH,$0.006684,0.00%,2.35%,2.37%,"$442,639","$145
21,755 EOTH","66,223,373 EOTH",100495373.0,,1,,,,,,,5982.0,2024-09-23,0
6697,Moonscape,MSCP,$0.0001564,0.00%,2.69%,13.41%,"$89,061","$138
884,843 MSCP","569,291,429 MSCP",1111111111.0,1111111111.0,1,,,,,,,7521.0,2024-09-23,0
6726,TaleCraft,CRAFT,$0.002379,0.01%,1.30%,1.15%,"$14,277","$126
53,099 CRAFT","6,000,000 CRAFT",30000000.0,30000000.0,1,,,,,,,5846.0,2024-09-23,0
6820,Memes vs Undead,MVU,$0.01003,0.35%,3.27%,3.23%,"$16,748","$103
10,270 MVU","1,670,000 MVU",100000000.0,100000000.0,1,,,,,,,7089.0,2024-09-23,0
6828,ZONE,ZONE,$0.0007179,0.02%,4.22%,19.98%,"$87,698","$102
141,908 ZONE","122,154,602 ZONE",1000000000.0,1000000000.0,1,,,,,,,4801.0,2024-09-23,0
6836,The Winners Circle,HRSE,$0.02099,0.01%,2.94%,11.92%,"$1,280,196","$100
4,764 HRSE","61,000,000 HRSE",500000000.0,,1,,,,,,,,2024-09-23,0
6946,MetaGods,MGOD,$0.0009556,0.00%,0.57%,9.76%,"$457,295","$74
77,620 MGOD","478,564,399 MGOD",500000000.0,500000000.0,1,,,,,,,7518.0,2024-09-23,0
6981,StarSharks (SSS),SSS,$0.05346,0.00%,4.51%,12.33%,"$70,177","$67
1,255 SSS","1,312,693 SSS",100000000.0,100000000.0,1,,,,,,,5213.0,2024-09-23,0
7074,Alpaca City,ALPA,$0.006075,0.03%,0.52%,26.24%,"$42,324","$51
8,388 ALPA","6,966,504 ALPA",15743250.0,20000000.0,1,,,,,,2628.0,4489.0,2024-09-23,1
7085,DoragonLand,DOR,$0.00009806,0.90%,3.42%,13.26%,"$2,172","$49
503,454 DOR","22,150,000 DOR",1000000000.0,1000000000.0,1,,,,,,,7700.0,2024-09-23,0
7123,Bit Hotel,BTH,$0.0008203,0.00%,0.44%,0.79%,"$743,493","$46
55,468 BTH","906,369,842 BTH",1000000000.0,1000000000.0,1,,,,,,,5603.0,2024-09-23,0
7229,Amber Soul Stone,AMBER,$0.00006326,0.00%,0.70%,4.95%,"$63,258","$32
498,755 AMBER","1,000,000,000 AMBER",9997669032.0,10000000000.0,1,,,,,,,8458.0,2024-09-23,0
7251,Snail Trail,SLIME,$0.001349,0.00%,1.07%,16.61%,"$156,852","$29
21,811 SLIME","116,246,040 SLIME",300000000.0,300000000.0,1,,,,,,,6104.0,2024-09-23,0
7306,Metarun,MRUN,$0.0005498,0.00%,4.45%,10.04%,"$193,805","$24
43,195 MRUN","352,480,898 MRUN",1000000000.0,1000000000.0,1,,,,,,,6566.0,2024-09-23,0
7333,Crypto Global United,CGU,$0.001591,0.00%,0.32%,23.00%,"$712,338","$22
13,764 CGU","447,712,561 CGU",1000000000.0,1000000000.0,1,,,,,,,7120.0,2024-09-23,0
7442,Flare Token,1FLR,$0.00003572,0.00%,0.80%,12.39%,"$142,872","$15
424,436 1FLR","4,000,000,000 1FLR",4000000000.0,4000000000.0,1,,,,,,,6608.0,2024-09-23,0
7590,Hydraverse,HDV,$0.0001401,0.02%,0.09%,5.30%,"$3,111","$8
57,110 HDV","22,208,111 HDV",500000000.0,,1,,,,,,,4958.0,2024-09-23,0
7606,World of Defish,WOD,$0.057164,0.00%,0.49%,1.74%,"$1,003","$7
1,017,659 WOD","140,000,000 WOD",1000000000.0,1000000000.0,1,,,,,,,8282.0,2024-09-23,0
7622,Gaming Stars,GAMES,$0.056598,0.01%,17.51%,28.81%,"$3,194","$7
1,039,526 GAMES","484,000,003 GAMES",1000000000.0,1000000002.0,1,,,,,,,4300.0,2024-09-23,0
7704,Decentral Games Governance (xDG),xDG,$0.01604,0.00%,2.66%,1.04%,"$88,585","$4
274 XDG","5,523,290 xDG",280077485.0,280077485.0,1,,,,,,,6938.0,2024-09-23,0
7707,Age of Tanks,A.O.T,$0.0003931,0.00%,1.61%,12.96%,"$32,547","$4
10,939 A.O.T","82,800,000 A.O.T",300000000.0,300000000.0,1,,,,,,,7690.0,2024-09-23,0
7772,Web3Games.com,WGT,$0.001831,0.59%,0.61%,18.49%,"$595,693","$3
1,442 WGT","325,279,995 WGT",1000000000.0,1000000000.0,1,,,,,,,4304.0,2024-09-23,0
7806,Time Raiders,XPND,$0.00007135,0.00%,0.29%,1.00%,"$2,163","$2
26,069 XPND","30,313,709 XPND",1000000000.0,1000000000.0,1,,,,,,,,2024-09-23,0
7823,GONG,GONG,$0.053153,0.00%,0.23%,17.21%,"$6,306","$2
501,083 GONG","2,000,000,000 GONG",2000000000.0,2000000000.0,1,,,,,,,,2024-09-23,0
7838,Nomad Exiles,PRIDE,$0.001112,0.01%,3.46%,5.57%,"$8,899","$1
1,241 PRIDE","8,000,000 PRIDE",100000000.0,100000000.0,1,,,,,,,5015.0,2024-09-23,0
7844,Duckie Land,MMETA,$0.008592,0.00%,3.39%,13.78%,"$161,529","$1
152 MMETA","18,800,000 MMETA",100000000.0,,1,,,,,,,7470.0,2024-09-23,0
7883,TryHards,TRYHARDS,$0.0001624,0.47%,1.48%,3.38%,"$27,416","$0.83
5,111 TRYHARDS","168,820,175 TRYHARDS",200000000.0,200000000.0,1,,,,,,,7237.0,2024-09-23,0
7938,PlayNity,PLY,$0.001354,0.00%,0.03%,1.32%,"$12,923","$0
214 PLY","9,545,556 PLY",150000000.0,150000000.0,1,,,,,,,,2024-09-23,0
8000,Moomonster,MOO,$0.0003731,0.00%,0.06%,29.99%,"$6,342","$0
54 MOO","17,000,000 MOO",170000000.0,170000000.0,1,,,,,,,9105.0,2024-09-23,0
8176,SkinCoin,SKIN,$0.0009849,0.05%,0.52%,11.20%,"$86,824",,"88,183,483 SKIN",388183483.291,,1,,,,,1669.0,1920.0,8638.0,2024-09-23,1
8391,ITAM Games,ITAM,$0.008424,0.00%,2.14%,8.98%,"$5,054,151",,"600,000,000 ITAM",52298004.417637,2500000000.0,1,,,,,,2661.0,8158.0,2024-09-23,1
8490,Bezoge Earth,BEZOGE,$0.0115234,0.00%,0.00%,17.96%,"$210,240",,"40,167,269,122,662,936 BEZOGE",0.0,1e+17,1,,,,,,,6030.0,2024-09-23,0
8542,Meme Lordz [OLD],$LORDZ,$0.008871,0.00%,0.00%,3.29%,"$679,964",,"76,650,367 $LORDZ",100000000.0,100000000.0,1,,,,,,,,2024-09-23,0
8573,Mech Master,MECH,$0.004671,1.63%,439.52%,487.61%,"$55,146",,"12,020,600 MECH",650000000.0,650000000.0,1,,,,,,,7786.0,2024-09-23,0
8623,HappyLand,HPL,$0.0001293,0.00%,0.00%,10.21%,"$1,365",,"10,560,000 HPL",400000000.0,400000000.0,1,,,,,,,5983.0,2024-09-23,0
8630,Animalia,ANIM,$0.003449,0.00%,0.00%,14.23%,"$110,731",,"32,104,000 ANIM",108700000.0,,1,,,,,,,,2024-09-23,0
8647,MetaBrands,MAGE,$0.005674,0.07%,1.21%,8.95%,"$83,029",,"14,632,395 MAGE",100000000.0,100000000.0,1,,,,,,,9110.0,2024-09-23,0
8667,Battle Saga,BTL,$0.0004026,0.00%,0.17%,0.05%,"$11,894",,"29,542,625 BTL",300000000.0,300000000.0,1,,,,,,,9126.0,2024-09-23,0
8670,Mechanium,MECHA,$0.01286,0.00%,0.00%,4.69%,"$64,301",,"5,000,000 MECHA",76500000.0,100000000.0,1,,,,,,,6379.0,2024-09-23,0
8704,Colonize Mars,MARTIA,$0.00002943,1.13%,13.39%,15.29%,"$12,358",,"420,056,281 MARTIA",10078963605.2591,12000000000.0,1,,,,,,,,2024-09-23,0
8833,Monsterra (MAG),MAG,$0.0004099,0.00%,0.46%,20.02%,"$3,218",,"7,850,000 MAG",0.0,,1,,,,,,,7626.0,2024-09-23,0
9199,PECland,PECL,$0.057306,0.00%,0.00%,6.75%,"$47,491",,"6,500,000,000 PECL",50000000000.0,50000000000.0,1,,,,,,,5954.0,2024-09-23,0
9219,Memefi Toybox 404,TOYBOX,$35.08,0.00%,0.00%,15.53%,"$311,764",,"8,888 TOYBOX",8888.0,8888.0,1,,,,,,,6364.0,2024-09-23,0
9247,GnomeLand,GNOME,$0.0001832,9.07%,9.07%,10.82%,"$28,762",,"156,971,211 GNOME",156971211.0,,1,,,,,,,3859.0,2024-09-23,0
9261,Xtremeverse,XTREME,$161.82,0.00%,3.04%,11.53%,"$485,466",,"3,000 XTREME",3000.0,3000.0,1,,,,,,,4057.0,2024-09-23,0
9266,Besa Gaming,BESA,$0.0000421,0.00%,2.96%,9.33%,"$42,101",,"1,000,000,000 BESA",1000000000.0,,1,,,,,,,5705.0,2024-09-23,0
9267,Gambit,GAMBIT,$0.051004,0.00%,3.82%,10.28%,"$100,409",,"100,000,000,000 GAMBIT",100000000000.0,100000000000.0,1,,,110.0,294.0,,,5932.0,2024-09-23,1
9289,Apollo FTW,FTW,$0.001278,0.00%,1.47%,16.16%,"$1,120,560",,"877,085,065 FTW",877085065.0,2000000000.0,1,,,,,,,4306.0,2024-09-23,0
9359,The GameHub,GHUB,$0.0001921,0.00%,2.72%,92.64%,"$19,210",,"100,000,000 GHUB",100000000.0,100000000.0,1,,,,,,,4502.0,2024-09-23,0
12,Avalanche,AVAX,$27.06,0.62%,1.53%,15.64%,"$10,985,408,658","$345,724,477
12,774,864 AVAX","406,002,079 AVAX",446015071.9233751,715748719.0,2,,,,,,55.0,12.0,2024-09-23,1
14,Chainlink,LINK,$11.23,0.08%,0.22%,7.01%,"$7,039,158,042","$245,946,577
21,858,166 LINK","626,849,970 LINK",1000000000.0,,2,,,,,12.0,9.0,16.0,2024-09-23,1
46,VeChain,VET,$0.02388,0.18%,0.34%,14.06%,"$1,933,787,633","$16,190,946
677,956,600 VET","80,985,041,177 VET",85985041177.0,86712634466.0,2,,,,,40.0,23.0,39.0,2024-09-23,1
53,Maker,MKR,"$1,612.33",0.08%,0.32%,6.22%,"$1,423,479,263","$78,734,558
48,784 MKR","882,870 MKR",926618.67155817,1005577.0,2,,,,,30.0,27.0,41.0,2024-09-23,1
67,Ondo,ONDO,$0.7163,0.42%,0.16%,21.10%,"$995,549,925","$504,142,779
702,916,248 ONDO","1,389,759,838 ONDO",10000000000.0,,2,,,,,,,76.0,2024-09-23,0
68,MANTRA,OM,$1.16,0.09%,0.37%,8.58%,"$974,636,333","$17,335,860
14,944,365 OM","842,499,555 OM",888888888.0,,2,,,,,,,128.0,2024-09-23,0
72,Quant,QNT,$77.23,0.08%,4.33%,10.45%,"$932,381,233","$14,607,271
189,081 QNT","12,072,738 QNT",14881364.0,14881364.0,2,,,,,99.0,88.0,72.0,2024-09-23,1
111,Synthetix,SNX,$1.58,0.12%,1.01%,19.44%,"$517,034,081","$18,786,945
11,895,650 SNX","327,769,196 SNX",328193104.0887736,,2,,,,,,25.0,87.0,2024-09-23,1
122,IOTA,IOTA,$0.1387,0.21%,1.58%,15.47%,"$477,131,196","$8,729,611
62,876,976 IOTA","3,440,020,224 IOTA",3440020224.0,,2,,,,,27.0,34.0,103.0,2024-09-23,1
128,Axelar,AXL,$0.5664,0.09%,0.59%,18.54%,"$448,364,769","$14,602,422
25,737,696 AXL","791,621,235 AXL",1168916504.824803,,2,,,,,,,100.0,2024-09-23,0
136,XDC Network,XDC,$0.02857,0.18%,0.12%,2.58%,"$426,411,672","$5,298,380
185,507,432 XDC","14,926,314,621 XDC",37944769424.25,,2,,,,,,,131.0,2024-09-23,0
155,Reserve Rights,RSR,$0.006765,0.27%,3.96%,19.57%,"$348,005,647","$17,715,726
2,616,158,316 RSR","51,438,764,433 RSR",100000000000.0,,2,,,,,206.0,64.0,195.0,2024-09-23,1
197,Polymesh,POLYX,$0.2551,0.50%,1.51%,16.55%,"$226,389,229","$13,928,106
54,588,061 POLYX","887,281,383 POLYX",1090965324.987561,,2,,,,,,,168.0,2024-09-23,0
247,Centrifuge,CFG,$0.3631,0.17%,0.32%,9.88%,"$182,030,911","$788,402
2,164,803 CFG","501,376,247 CFG",553240839.0,,2,,,,,,,185.0,2024-09-23,0
261,Creditcoin,CTC,$0.4464,0.18%,0.03%,9.26%,"$168,343,831","$6,184,021
13,871,499 CTC","377,085,684 CTC",549564264.0,600000000.0,2,,,,,2142.0,209.0,244.0,2024-09-23,1
273,Chia,XCH,$14.51,0.87%,2.46%,13.74%,"$159,861,530","$5,315,088
366,369 XCH","11,019,242 XCH",32023790.0,,2,,,,,,,198.0,2024-09-23,0
292,Chintai,CHEX,$0.1375,0.52%,2.89%,13.78%,"$133,265,983","$338,701
2,472,189 CHEX","969,210,617 CHEX",998890960.3163126,,2,,,,,,,2609.0,2024-09-23,0
294,Lisk,LSK,$0.9057,0.07%,0.11%,17.45%,"$131,726,147","$4,899,264
5,409,473 LSK","145,444,085 LSK",400000000.0,,2,,,9.0,22.0,49.0,96.0,254.0,2024-09-23,1
310,Venus,XVS,$7.44,0.18%,0.39%,9.70%,"$121,936,649","$4,961,756
666,850 XVS","16,388,030 XVS",30000000.0,,2,,,,,,300.0,321.0,2024-09-23,1
313,TrueFi,TRU,$0.101,0.22%,5.39%,5.20%,"$119,049,425","$25,131,033
248,859,153 TRU","1,178,882,643 TRU",1263325829.1551602,1450000000.0,2,,,,,,361.0,347.0,2024-09-23,1
334,Dusk,DUSK,$0.2327,1.10%,3.12%,19.96%,"$108,040,667","$10,239,213
44,044,799 DUSK","464,327,796 DUSK",500000000.0,,2,,,,,,,324.0,2024-09-23,0
346,Propy,PRO,$1.03,0.20%,1.96%,7.76%,"$103,321,187","$2,656,635
2,572,230 PRO","100,000,000 PRO",100000000.0,,2,,,,,417.0,713.0,225.0,2024-09-23,1
407,Maple,MPL,$18.56,1.77%,0.90%,5.43%,"$82,001,217","$693,617
37,335 MPL","4,417,986 MPL",10000000.0,10000000.0,2,,,,,,,528.0,2024-09-23,0
423,Polyhedra Network,ZKJ,$1.15,0.04%,0.44%,0.19%,"$77,054,685","$5,654,769
4,931,813 ZKJ","67,169,550 ZKJ",900000000.0,1000000000.0,2,,,,,,,2462.0,2024-09-23,0
429,Clearpool,CPOOL,$0.1244,0.48%,2.09%,0.64%,"$75,465,927","$995,487
7,998,315 CPOOL","606,598,945 CPOOL",1000000000.0,1000000000.0,2,,,,,,,477.0,2024-09-23,0
450,Goldfinch,GFI,$2.38,1.07%,0.86%,9.71%,"$69,257,127","$1,158,757
484,899 GFI","29,135,286 GFI",114285714.0,114285714.0,2,,,,,,,417.0,2024-09-23,0
462,Hifi Finance,HIFI,$0.4894,0.41%,0.18%,15.88%,"$67,657,405","$8,722,658
17,805,905 HIFI","138,237,507 HIFI",141362935.4123859,,2,,,,,,,441.0,2024-09-23,0
480,Polymath,POLY,$0.0677,3.12%,2.10%,3.82%,"$62,624,017","$6,739
99,493 POLY","924,998,413 POLY",1000000000.0,,2,,,,,262.0,167.0,462.0,2024-09-23,1
510,Alkimi,ADS,$0.237,0.88%,0.35%,15.92%,"$56,166,134","$238,610
1,006,805 ADS","236,991,084 ADS",250000000.0,,2,,,,,,,3199.0,2024-09-23,0
511,LTO Network,LTO,$0.1297,0.33%,1.50%,12.00%,"$56,024,898","$1,574,853
12,114,998 LTO","432,040,008 LTO",432069639.32547736,500000000.0,2,,,,,283.0,163.0,482.0,2024-09-23,1
541,Ribbon Finance,RBN,$0.3983,0.93%,2.18%,25.47%,"$50,303,437","$1,382,618
3,483,060 RBN","126,287,812 RBN",1000000000.0,,2,,,,,,,120.0,2024-09-23,0
554,ORIGYN,OGY,$0.006059,0.02%,0.73%,1.71%,"$47,432,434","$206,925
34,159,081 OGY","7,828,640,875 OGY",10417581641.736532,,2,,,,,,,3143.0,2024-09-23,0
595,Propbase,PROPS,$0.1119,1.02%,2.77%,33.15%,"$41,369,456","$1,623,678
14,572,743 PROPS","369,751,554 PROPS",1200000000.0,1200000000.0,2,,,,,,,572.0,2024-09-23,0
602,Boson Protocol,BOSON,$0.3036,0.21%,8.72%,24.03%,"$40,266,995","$747,617
2,461,516 BOSON","132,645,891 BOSON",200000000.0,200000000.0,2,,,,,,,495.0,2024-09-23,0
655,Parcl,PRCL,$0.2244,2.28%,0.24%,67.45%,"$32,511,122","$26,476,702
116,700,723 PRCL","144,901,780 PRCL",1000000000.0,1000000000.0,2,,,,,,,2437.0,2024-09-23,0
684,StrikeX,STRX,$0.03423,0.16%,3.19%,4.69%,"$29,766,147","$1,004,281
29,319,784 STRX","869,527,814 STRX",884232753.5840485,,2,,,,,,,546.0,2024-09-23,0
714,NEOPIN,NPT,$0.2566,0.05%,1.31%,7.46%,"$26,894,434","$689,241
2,690,333 NPT","104,810,305 NPT",1000000000.0,,2,,,,,,,544.0,2024-09-23,0
724,Artrade,ATR,$0.01547,0.23%,13.01%,19.18%,"$25,334,874","$5,843,636
376,666,573 ATR","1,637,939,083 ATR",1788974932.5829122,,2,,,,,,,604.0,2024-09-23,0
730,Propchain,PROPC,$1.14,0.50%,5.50%,20.04%,"$24,918,443","$794,659
699,141 PROPC","21,919,680 PROPC",63763336.9999994,100000000.0,2,,,,,,,600.0,2024-09-23,0
734,Nexera,NXRA,$0.02956,1.19%,8.21%,19.11%,"$24,260,889","$154,489
5,226,859 NXRA","820,713,704 NXRA",864753703.7422844,,2,,,,,,,373.0,2024-09-23,0
757,Polytrade,TRADE,$0.6051,1.77%,6.55%,13.85%,"$22,705,048","$967,778
1,613,339 TRADE","37,525,243 TRADE",100000000.0,100000000.0,2,,,,,,,560.0,2024-09-23,0
778,Opulous,OPUL,$0.07489,0.48%,5.77%,16.08%,"$21,247,017","$1,598,577
21,323,224 OPUL","283,693,726 OPUL",500000000.0,,2,,,,,,,620.0,2024-09-23,0
789,Hathor,HTR,$0.04312,0.24%,1.51%,15.62%,"$19,721,593","$335,454
7,779,810 HTR","457,390,929 HTR",931235160.0,,2,,,,,,2469.0,826.0,2024-09-23,1
790,Swarm Markets,SMT,$0.2401,0.56%,5.92%,6.19%,"$19,668,418","$249,702
1,037,634 SMT","81,919,573 SMT",158143776.0,,2,,,,,,,771.0,2024-09-23,0
812,ELYSIA,EL,$0.004681,1.08%,0.98%,0.05%,"$18,774,039","$631,332
134,861,549 EL","4,010,729,784 EL",6803300704.688,7000000000.0,2,,,,,2394.0,748.0,637.0,2024-09-23,1
867,Credefi,CREDI,$0.02089,0.19%,5.63%,43.99%,"$15,641,061","$515,320
24,662,510 CREDI","748,573,880 CREDI",1000000000.0,1000000000.0,2,,,,,,,796.0,2024-09-23,0
895,Brickken,BKN,$0.232,0.27%,6.32%,20.36%,"$14,493,503","$3,762,015
16,198,753 BKN","62,465,848 BKN",143000000.0,,2,,,,,,,903.0,2024-09-23,0
923,Electra Protocol,XEP,$0.0007715,0.08%,13.52%,16.94%,"$13,930,183","$171,381
226,158,140 XEP","18,056,743,574 XEP",18057609162.74915,30000000000.0,2,,,,,,3168.0,924.0,2024-09-23,1
971,Comtech Gold,CGO,$84.48,0.07%,0.19%,1.65%,"$11,911,642","$641,198
7,584 CGO","141,000 CGO",141000.0,141000.0,2,,,,,,,1064.0,2024-09-23,0
973,KlimaDAO,KLIMA,$1.49,0.15%,3.96%,39.14%,"$11,892,013","$573,081
385,039 KLIMA","7,997,365 KLIMA",15026538.14086607,,2,,,,,,,917.0,2024-09-23,0
975,Blocksquare Token,BST,$0.2353,0.25%,3.05%,34.40%,"$11,865,855","$465,666
1,978,240 BST","50,434,956 BST",53017937.41082808,100000000.0,2,,,,,,,751.0,2024-09-23,0
1043,Soil,SOIL,$0.8308,0.01%,6.27%,0.57%,"$9,661,904","$189,463
228,042 SOIL","11,630,277 SOIL",99250000.0,100000000.0,2,,,,,,,1195.0,2024-09-23,0
1086,BytomDAO,BTM,$0.005117,0.76%,1.69%,1.52%,"$8,393,931","$7,314
1,429,655 BTM","1,640,515,592 BTM",2100000000.0,2100000000.0,2,,,,,,,,2024-09-23,0
1127,Stobox Token,STBU,$0.07629,0.12%,0.86%,24.88%,"$7,629,488","$161,973
2,118,879 STBU","100,000,000 STBU",150000000.0,150000000.0,2,,,,,,2738.0,876.0,2024-09-23,1
1128,Realio Network,RIO,$1.17,0.15%,5.37%,61.84%,"$7,692,921","$8,194,087
7,047,479 RIO","6,568,515 RIO",74488102.0,75000000.0,2,,,,,,640.0,1045.0,2024-09-23,1
1216,UBXS Token,UBXS,$0.1047,0.74%,7.30%,33.10%,"$5,982,398","$279,114
2,666,577 UBXS","57,155,070 UBXS",84999999.0,,2,,,,,,,900.0,2024-09-23,0
1240,Landshare,LAND,$1.44,0.10%,3.46%,14.94%,"$5,594,883","$349,517
242,785 LAND","3,886,510 LAND",3911083.87174036,,2,,,,,,,962.0,2024-09-23,0
1286,XDB CHAIN,XDB,$0.000283,0.38%,0.22%,2.03%,"$4,867,700","$1,255,502
4,438,334,846 XDB","17,197,670,082 XDB",18974370019.97,,2,,,,,,,1007.0,2024-09-23,0
1300,Everest,ID,$0.03947,0.00%,2.38%,8.20%,"$4,606,210","$16,123
408,482 ID","116,700,000 ID",800000000.0,800000000.0,2,,,,,,,1034.0,2024-09-23,0
1446,LandX Finance,LNDX,$0.3567,0.57%,0.32%,22.25%,"$2,986,600","$372,901
1,043,461 LNDX","8,372,042 LNDX",66559779.787758,80000000.0,2,,,,,,,1047.0,2024-09-23,0
