id,name,symbol,slug,cmcRank,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
18,Digitalcoin,DGC,digitalcoin,11,6846203.5,6846203.5,48166000.0,2013-08-11T23:56:15.000Z,2013-06-09T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.03098655, 'volume24h': 0.0, 'marketCap': 212140.22249471, 'percentChange1h': 0.186485, 'percentChange24h': -0.0773329, 'percentChange7d': -14.0164, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00030084, 'volume24h': 0.0, 'marketCap': 2059.61396319, 'percentChange1h': 0.186485, 'percentChange24h': -0.0773329, 'percentChange7d': -14.0164, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#18,2013-06-09T00:00:00.000Z,48166000.0,6846203.5,6846203.5,,11,2013-08-11T23:56:15.000Z,2024-09-24T14:59:04Z
10,Freicoin,FRC,freicoin,12,23917574.0,23917574.0,,2013-08-11T23:56:05.000Z,2013-05-03T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00661605, 'volume24h': 0.0, 'marketCap': 158239.86335381, 'percentChange1h': 0.147124, 'percentChange24h': -8.30631, 'percentChange7d': -3.50963, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 6.423e-05, 'volume24h': 0.0, 'marketCap': 1536.30946675, 'percentChange1h': 0.147124, 'percentChange24h': -8.30631, 'percentChange7d': -3.50963, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#10,2013-05-03T00:00:00.000Z,,23917574.0,23917574.0,,12,2013-08-11T23:56:05.000Z,2024-09-24T14:59:04Z
16,WorldCoin,WDC,worldcoin,13,15504492.0,15504492.0,,2013-08-11T23:56:11.000Z,2013-05-22T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.00819, 'volume24h': 0.0, 'marketCap': 126981.79614305, 'percentChange1h': 1.30303, 'percentChange24h': 2.38277, 'percentChange7d': -3.83223, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 7.951e-05, 'volume24h': 0.0, 'marketCap': 1232.83306358, 'percentChange1h': 1.30303, 'percentChange24h': 2.38277, 'percentChange7d': -3.83223, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#16,2013-05-22T00:00:00.000Z,,15504492.0,15504492.0,,13,2013-08-11T23:56:11.000Z,2024-09-24T14:59:04Z
17,Yacoin,YAC,yacoin,14,5520628.0,5520628.0,,2013-08-11T23:56:14.000Z,2013-06-09T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.021, 'volume24h': 0.0, 'marketCap': 115933.18643699, 'percentChange1h': -5.48701, 'percentChange24h': -5.10401, 'percentChange7d': 5.83456, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00020388, 'volume24h': 0.0, 'marketCap': 1125.56500024, 'percentChange1h': -5.48701, 'percentChange24h': -5.10401, 'percentChange7d': 5.83456, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#17,2013-06-09T00:00:00.000Z,,5520628.0,5520628.0,,14,2013-08-11T23:56:14.000Z,2024-09-24T14:59:04Z
37,Megacoin,MEC,megacoin,15,15780250.0,15780250.0,42000000.0,2013-08-11T23:56:29.000Z,2013-07-07T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.0059241, 'volume24h': 0.0, 'marketCap': 93483.77991328, 'percentChange1h': -3.39594, 'percentChange24h': 10.7944, 'percentChange7d': -19.3054, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 5.752e-05, 'volume24h': 0.0, 'marketCap': 907.60958095, 'percentChange1h': -3.39594, 'percentChange24h': 10.7944, 'percentChange7d': -19.3054, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#37,2013-07-07T00:00:00.000Z,42000000.0,15780250.0,15780250.0,,15,2013-08-11T23:56:29.000Z,2024-09-24T14:59:05Z
9,Mincoin,MNC,mincoin,16,1250067.375,1250067.375,,2013-08-11T23:56:05.000Z,2013-05-03T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.0700518, 'volume24h': 0.0, 'marketCap': 87569.46565772, 'percentChange1h': 4.39712, 'percentChange24h': -19.4078, 'percentChange7d': -25.7348, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00068011, 'volume24h': 0.0, 'marketCap': 850.18904994, 'percentChange1h': 4.39712, 'percentChange24h': -19.4078, 'percentChange7d': -25.7348, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#9,2013-05-03T00:00:00.000Z,,1250067.375,1250067.375,,16,2013-08-11T23:56:05.000Z,2024-09-24T14:59:05Z
13,Ixcoin,IXC,ixcoin,17,14698514.0,14698514.0,,2013-08-11T23:56:07.000Z,2013-05-08T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00578445, 'volume24h': 0.0, 'marketCap': 85022.82076057, 'percentChange1h': 1.38683, 'percentChange24h': 3.84591, 'percentChange7d': 49.0134, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 5.616e-05, 'volume24h': 0.0, 'marketCap': 825.46434037, 'percentChange1h': 1.38683, 'percentChange24h': 3.84591, 'percentChange7d': 49.0134, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#13,2013-05-08T00:00:00.000Z,,14698514.0,14698514.0,,17,2013-08-11T23:56:07.000Z,2024-09-24T14:59:05Z
41,Infinitecoin,IFC,infinitecoin,18,70605864960.0,70605864960.0,,2013-08-11T23:56:30.000Z,2013-07-10T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 1.13e-06, 'volume24h': 0.0, 'marketCap': 80005.12700379, 'percentChange1h': 1.1823, 'percentChange24h': 56.1337, 'percentChange7d': 37.9781, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 1e-08, 'volume24h': 0.0, 'marketCap': 776.7488634, 'percentChange1h': 1.1823, 'percentChange24h': 56.1337, 'percentChange7d': 37.9781, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#41,2013-07-10T00:00:00.000Z,,70605864960.0,70605864960.0,,18,2013-08-11T23:56:30.000Z,2024-09-24T14:59:05Z
49,Bullion,CBX,bullion,19,591903.6875,591903.6875,,2013-08-11T23:56:34.000Z,2013-08-04T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.12809999, 'volume24h': 0.0, 'marketCap': 75822.85814924, 'percentChange1h': 5.32229, 'percentChange24h': -2.36962, 'percentChange7d': 24.7994, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00124369, 'volume24h': 0.0, 'marketCap': 736.1443084, 'percentChange1h': 5.32229, 'percentChange24h': -2.36962, 'percentChange7d': 24.7994, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#49,2013-08-04T00:00:00.000Z,,591903.6875,591903.6875,,19,2013-08-11T23:56:34.000Z,2024-09-24T14:59:05Z
35,Phoenixcoin,PXC,phoenixcoin,20,3472800.0,3472800.0,98000000.0,2013-08-11T23:56:29.000Z,2013-07-04T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.0206808, 'volume24h': 0.0, 'marketCap': 71820.28251886, 'percentChange1h': 12.7425, 'percentChange24h': 20.2684, 'percentChange7d': -11.974, 'lastUpdated': '2013-08-11T00:00:00.000Z'}, {'name': '1', 'price': 0.00020078, 'volume24h': 0.0, 'marketCap': 697.28434795, 'percentChange1h': 12.7425, 'percentChange24h': 20.2684, 'percentChange7d': -11.974, 'lastUpdated': '2013-08-11T12:00:00Z'}]",https://coinmarketcap.com/historical/20130811/#35,2013-07-04T00:00:00.000Z,98000000.0,3472800.0,3472800.0,,20,2013-08-11T23:56:29.000Z,2024-09-24T14:59:05Z
