id,name,symbol,slug,cmcRank,numMarketPairs,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
1958,TRON,TRX,tron,15,337,66682072191.4,99281283754.3,,2020-05-03T23:59:01.000Z,2017-09-13T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 0.01602032, 'volume24h': 1561508724.219, 'marketCap': 1068267999.3780499, 'percentChange1h': -0.316665, 'percentChange24h': -2.4589, 'percentChange7d': 11.6737, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 1.78e-06, 'volume24h': 173718.41754881, 'marketCap': 118845.20623656, 'percentChange1h': -0.316665, 'percentChange24h': -2.4589, 'percentChange7d': 11.6737, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#1958,2017-09-13T00:00:00.000Z,,66682072191.4,99281283754.3,,15,2020-05-03T23:59:01.000Z,2024-09-24T14:46:43Z
3957,UNUS SED LEO,LEO,unus-sed-leo,16,25,999498892.9,999498892.9,,2020-05-03T23:59:08.000Z,2019-05-21T00:00:00.000Z,,"[{'name': '2781', 'price': 1.06455157, 'volume24h': 11048795.8268772, 'marketCap': 1064018112.6914402, 'percentChange1h': -0.122562, 'percentChange24h': -0.00504503, 'percentChange7d': 1.40852, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00011843, 'volume24h': 1229.18258291, 'marketCap': 118372.40478594, 'percentChange1h': -0.122562, 'percentChange24h': -0.00504503, 'percentChange7d': 1.40852, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#3957,2019-05-21T00:00:00.000Z,,999498892.9,999498892.9,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",16,2020-05-03T23:59:08.000Z,2024-09-24T14:46:44Z
3635,Crypto.com Coin,CRO,crypto-com-coin,17,45,16581278538.8128,100000000000,,2020-05-03T23:59:07.000Z,2018-12-14T00:00:00.000Z,,"[{'name': '2781', 'price': 0.05993719, 'volume24h': 7968703.4457964, 'marketCap': 993835265.266748, 'percentChange1h': -0.233502, 'percentChange24h': -0.812505, 'percentChange7d': 8.01087, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 6.67e-06, 'volume24h': 886.52117727, 'marketCap': 110564.53730202, 'percentChange1h': -0.233502, 'percentChange24h': -0.812505, 'percentChange7d': 8.01087, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#3635,2018-12-14T00:00:00.000Z,,16581278538.8128,100000000000,,17,2020-05-03T23:59:07.000Z,2024-09-24T14:46:44Z
2502,Huobi Token,HT,huobi-token,18,137,222668092.971921,500000000,,2020-05-03T23:59:01.000Z,2018-02-03T00:00:00.000Z,,"[{'name': '2781', 'price': 4.19654165, 'volume24h': 138481500.759783, 'marketCap': 934435925.9264698, 'percentChange1h': -0.136141, 'percentChange24h': -2.13318, 'percentChange7d': 3.51987, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00046687, 'volume24h': 15406.11768519, 'marketCap': 103956.33904248, 'percentChange1h': -0.136141, 'percentChange24h': -2.13318, 'percentChange7d': 3.51987, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#2502,2018-02-03T00:00:00.000Z,,222668092.971921,500000000,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x6f259637dcd74c767781e37bc6133cd6a68aa161'}",18,2020-05-03T23:59:01.000Z,2024-09-24T14:46:44Z
3296,MINDOL,MIN,mindol,19,14,170303675.5,240000000,,2020-05-03T23:59:05.000Z,2019-03-29T00:00:00.000Z,,"[{'name': '2781', 'price': 5.06944983, 'volume24h': 1516322.41649637, 'marketCap': 863345939.5220165, 'percentChange1h': 0.017847, 'percentChange24h': 5.73192, 'percentChange7d': 43.1604, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00056398, 'volume24h': 168.69142426, 'marketCap': 96047.55201478, 'percentChange1h': 0.017847, 'percentChange24h': 5.73192, 'percentChange7d': 43.1604, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#3296,2019-03-29T00:00:00.000Z,,170303675.5,240000000,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5d64d850c8368008afb39224e92ad0dceff3cf38'}",19,2020-05-03T23:59:05.000Z,2024-09-24T14:46:44Z
1321,Ethereum Classic,ETC,ethereum-classic,20,245,116313299,116313299,210700000.0,2020-05-03T23:59:01.000Z,2016-07-24T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 7.22643243, 'volume24h': 2920876668.71741, 'marketCap': 840530196.3153943, 'percentChange1h': -0.28192, 'percentChange24h': -3.43372, 'percentChange7d': 16.748, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00080394, 'volume24h': 324948.5993097, 'marketCap': 93509.29222566, 'percentChange1h': -0.28192, 'percentChange24h': -3.43372, 'percentChange7d': 16.748, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#1321,2016-07-24T00:00:00.000Z,210700000.0,116313299,116313299,,20,2020-05-03T23:59:01.000Z,2024-09-24T14:46:44Z
131,Dash,DASH,dash,21,286,9475661.55075089,9475661.55075089,18900000.0,2020-05-03T23:59:00.000Z,2014-02-14T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 81.00478339, 'volume24h': 713193611.635296, 'marketCap': 767573911.3813139, 'percentChange1h': -0.286457, 'percentChange24h': -2.65299, 'percentChange7d': -3.74387, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00901181, 'volume24h': 79343.0505367, 'marketCap': 85392.87880291, 'percentChange1h': -0.286457, 'percentChange24h': -2.65299, 'percentChange7d': -3.74387, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#131,2014-02-14T00:00:00.000Z,18900000.0,9475661.55075089,9475661.55075089,,21,2020-05-03T23:59:00.000Z,2024-09-24T14:46:44Z
3408,USD Coin,USDC,usd-coin,22,219,706331998.943527,710797096.61,,2020-05-03T23:59:05.000Z,2018-10-08T00:00:00.000Z,,"[{'name': '2781', 'price': 0.99929587, 'volume24h': 538532396.686155, 'marketCap': 705834652.7658463, 'percentChange1h': -0.0886052, 'percentChange24h': -0.322386, 'percentChange7d': -0.250761, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00011117, 'volume24h': 59911.92639534, 'marketCap': 78524.36366689, 'percentChange1h': -0.0886052, 'percentChange24h': -0.322386, 'percentChange7d': -0.250761, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#3408,2018-10-08T00:00:00.000Z,,706331998.943527,710797096.61,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",22,2020-05-03T23:59:05.000Z,2024-09-24T14:46:44Z
5015,HEX,HEX,hex,23,17,150996605005.506,154535390580.744,,2020-05-03T23:59:10.000Z,2019-12-17T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00454762, 'volume24h': 4699676.75093985, 'marketCap': 686674935.3180499, 'percentChange1h': 2.23186, 'percentChange24h': -7.12339, 'percentChange7d': 55.2078, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 5.1e-07, 'volume24h': 522.84076003, 'marketCap': 76392.83808264, 'percentChange1h': 2.23186, 'percentChange24h': -7.12339, 'percentChange7d': 55.2078, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#5015,2019-12-17T00:00:00.000Z,,150996605005.506,154535390580.744,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2b591e99afe9f32eaa6214f7b7629768c40eeb39'}",23,2020-05-03T23:59:10.000Z,2024-09-24T14:46:44Z
3662,HedgeTrade,HEDG,hedgetrade,24,14,288208798.11353,1000000000.05,,2020-05-03T23:59:07.000Z,2019-01-03T00:00:00.000Z,,"[{'name': '2781', 'price': 2.24345983, 'volume24h': 524679.18293648, 'marketCap': 646584860.1567938, 'percentChange1h': 0.314516, 'percentChange24h': -1.26185, 'percentChange7d': 9.73062, 'lastUpdated': '2020-05-03T00:00:00.000Z'}, {'name': '1', 'price': 0.00024959, 'volume24h': 58.37075129, 'marketCap': 71932.80253598, 'percentChange1h': 0.314516, 'percentChange24h': -1.26185, 'percentChange7d': 9.73062, 'lastUpdated': '2020-05-03T12:00:00Z'}]",https://coinmarketcap.com/historical/20200503/#3662,2019-01-03T00:00:00.000Z,,288208798.11353,1000000000.05,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xF1290473E210b2108A85237fbCd7b6eb42Cc654F'}",24,2020-05-03T23:59:07.000Z,2024-09-24T14:46:44Z
