id,name,symbol,slug,cmcRank,numMarketPairs,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
7384,Dandy Dego,DANDY,dandy-dego,3954,3,0.0,1375.0,,2021-01-10T23:00:00.000Z,2020-10-13T00:00:00.000Z,,"[{'name': '2781', 'price': 203.49340187, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.594147159224, 'percentChange24h': -1.041588750189, 'percentChange7d': 17.702646215779, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.00502813, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.594147159224, 'percentChange24h': -1.041588750189, 'percentChange7d': 17.702646215779, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7384,2020-10-13T00:00:00.000Z,,0.0,1375.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9dfc4b433d359024eb3e810d77d60fbe8b0d9b82'}",3954,2021-01-10T23:00:00.000Z,2024-09-24T15:16:24Z
7385,deCraft Finance,CRAFT,decraft-finance,3955,1,0.0,5000.0,,2021-01-10T23:00:00.000Z,2020-10-13T00:00:00.000Z,,"[{'name': '2781', 'price': 15.19902435, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945590203444, 'percentChange24h': -1.657822651733, 'percentChange7d': 29.15666946434, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.00037555, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945590203444, 'percentChange24h': -1.657822651733, 'percentChange7d': 29.15666946434, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7385,2020-10-13T00:00:00.000Z,,0.0,5000.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa09ff006c652496e72d648cef2f4ee6777efdf6f'}",3955,2021-01-10T23:00:00.000Z,2024-09-24T15:16:24Z
7397,Tavittcoin,TAVITT,tavittcoin,3956,1,0.0,0.0,100000000.0,2021-01-10T23:00:00.000Z,2020-10-14T00:00:00.000Z,,"[{'name': '2781', 'price': 0.02686191, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.511474928598, 'percentChange24h': -4.673788765363, 'percentChange7d': 16.89109463331, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 6.6e-07, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.511474928598, 'percentChange24h': -4.673788765363, 'percentChange7d': 16.89109463331, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7397,2020-10-14T00:00:00.000Z,100000000.0,0.0,0.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdd690d8824c00c84d64606ffb12640e932c1af56'}",3956,2021-01-10T23:00:00.000Z,2024-09-24T15:16:24Z
7405,Animal Friends United,AFU,animal-friends-united,3957,1,0.0,0.0,,2021-01-10T23:00:00.000Z,2020-10-14T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00020004, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.032524387554, 'percentChange24h': -0.264582374884, 'percentChange7d': -0.025636813752, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.0, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.032524387554, 'percentChange24h': -0.264582374884, 'percentChange7d': -0.025636813752, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7405,2020-10-14T00:00:00.000Z,,0.0,0.0,"{'id': 14, 'name': 'BNB Smart Chain (BEP20)', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': '0xbd15e333db7b85f2a17ecb8412fbc7c6295819ba'}",3957,2021-01-10T23:00:00.000Z,2024-09-24T15:16:24Z
7408,Sergey Save Link,SSL,sergey-save-link,3958,1,0.0,1100.0,,2021-01-10T23:00:00.000Z,2020-10-14T00:00:00.000Z,,"[{'name': '2781', 'price': 70.76574397, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945590203444, 'percentChange24h': -1.657822651733, 'percentChange7d': 28.645533715137, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.00174856, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945590203444, 'percentChange24h': -1.657822651733, 'percentChange7d': 28.645533715137, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7408,2020-10-14T00:00:00.000Z,,0.0,1100.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x0d9227f9c4ab3972f994fccc6eeba3213c0305c4'}",3958,2021-01-10T23:00:00.000Z,2024-09-24T15:16:24Z
7413,Azzure,AZZR,azzure,3959,1,0.0,0.0,,2021-01-10T23:00:00.000Z,2020-10-15T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00038374, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.511474927893, 'percentChange24h': -4.673788763934, 'percentChange7d': 17.202381274045, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 1e-08, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.511474927893, 'percentChange24h': -4.673788763934, 'percentChange7d': 17.202381274045, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7413,2020-10-15T00:00:00.000Z,,0.0,0.0,,3959,2021-01-10T23:00:00.000Z,2024-09-24T15:16:25Z
7421,Bitfinex Bitcoin Dominance Perps,BTCDOM,bitfinex-bitcoin-dominance-perps,3960,1,0.0,0.0,,2021-01-10T23:00:00.000Z,2020-10-15T00:00:00.000Z,,"[{'name': '2781', 'price': 220.69958032, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -1.032737373184, 'percentChange24h': -0.165041513214, 'percentChange7d': -9.51497913125, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.00545328, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -1.032737373184, 'percentChange24h': -0.165041513214, 'percentChange7d': -9.51497913125, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7421,2020-10-15T00:00:00.000Z,,0.0,0.0,,3960,2021-01-10T23:00:00.000Z,2024-09-24T15:16:25Z
7439,Gallery Finance,GLF,gallery-finance,3961,2,0.0,30000.0,30000.0,2021-01-10T23:00:00.000Z,2020-10-19T00:00:00.000Z,,"[{'name': '2781', 'price': 4.49701026, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945402370996, 'percentChange24h': -1.65753743808, 'percentChange7d': 29.14884284693, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.00011112, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945402370996, 'percentChange24h': -1.65753743808, 'percentChange7d': 29.14884284693, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7439,2020-10-19T00:00:00.000Z,30000.0,0.0,30000.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x47fd85128312ee72aA0E0382a531a8f848B8B2CB'}",3961,2021-01-10T23:00:00.000Z,2024-09-24T15:16:25Z
7446,Unicore,UNICORE,unicore,3962,1,0.0,0.0,1000.0,2021-01-10T23:00:00.000Z,2020-10-19T00:00:00.000Z,,"[{'name': '2781', 'price': 813.19583249, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945590203444, 'percentChange24h': -1.657822651733, 'percentChange7d': 29.15666946434, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 0.02009331, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945590203444, 'percentChange24h': -1.657822651733, 'percentChange7d': 29.15666946434, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7446,2020-10-19T00:00:00.000Z,1000.0,0.0,0.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x5506861bbb104baa8d8575e88e22084627b192d8'}",3962,2021-01-10T23:00:00.000Z,2024-09-24T15:16:25Z
7458,Payou Finance,PAYOU,payou-finance,3963,1,0.0,21000.0,,2021-01-10T23:00:00.000Z,2020-10-20T00:00:00.000Z,,"[{'name': '2781', 'price': 0.68860365, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945590203444, 'percentChange24h': -1.657822651732, 'percentChange7d': 21.983115119749, 'lastUpdated': '2021-01-10T00:00:00.000Z'}, {'name': '1', 'price': 1.701e-05, 'volume24h': 0.0, 'marketCap': 0.0, 'percentChange1h': -0.945590203444, 'percentChange24h': -1.657822651732, 'percentChange7d': 21.983115119749, 'lastUpdated': '2021-01-10T12:00:00Z'}]",https://coinmarketcap.com/historical/20210110/#7458,2020-10-20T00:00:00.000Z,,0.0,21000.0,,3963,2021-01-10T23:00:00.000Z,2024-09-24T15:16:25Z
