id,name,symbol,slug,cmcRank,circulatingSupply,totalSupply,maxSupply,lastUpdated,dateAdded,tags,quotes,url,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,timestamp
1,Bitcoin,BTC,bitcoin,1,16225550.0,16225550.0,21000000.0,2017-03-19T23:59:04.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 1036.73693848, 'volume24h': 406648256.0, 'marketCap': 16821627032.098349, 'percentChange1h': -1.81586, 'percentChange24h': 5.90913, 'percentChange7d': -15.2452, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 1, 'volume24h': 416336.3864327, 'marketCap': 17222391.36435026, 'percentChange1h': 0, 'percentChange24h': 0, 'percentChange7d': 0, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#1,2013-04-28T00:00:00.000Z,21000000.0,16225550.0,16225550.0,,1,2017-03-19T23:59:04.000Z,2024-09-24T15:35:29Z
1027,Ethereum,ETH,ethereum,2,89916363.624,89916363.624,,2017-03-19T23:59:23.000Z,2015-08-07T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 44.74007416, 'volume24h': 239430224.0, 'marketCap': 4022864776.5298095, 'percentChange1h': -3.59043, 'percentChange24h': 27.0995, 'percentChange7d': 87.022, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 0.04580598, 'volume24h': 245134.49348946, 'marketCap': 4118706.91551133, 'percentChange1h': -3.59043, 'percentChange24h': 27.0995, 'percentChange7d': 87.022, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#1027,2015-08-07T00:00:00.000Z,,89916363.624,89916363.624,,2,2017-03-19T23:59:23.000Z,2024-09-24T15:35:29Z
131,Dash,DASH,dash,3,7174758.48108753,7174758.48108753,18900000.0,2017-03-19T23:59:06.000Z,2014-02-14T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 108.22886658, 'volume24h': 44670068.0, 'marketCap': 776515978.3728833, 'percentChange1h': -0.236173, 'percentChange24h': 1.65925, 'percentChange7d': 39.5751, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 0.11080735, 'volume24h': 45734.30334058, 'marketCap': 795015.96692701, 'percentChange1h': -0.236173, 'percentChange24h': 1.65925, 'percentChange7d': 39.5751, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#131,2014-02-14T00:00:00.000Z,18900000.0,7174758.48108753,7174758.48108753,,3,2017-03-19T23:59:06.000Z,2024-09-24T15:35:29Z
328,Monero,XMR,monero,4,14144374.440137,14144374.440137,,2017-03-19T23:59:10.000Z,2014-05-21T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 23.28757095, 'volume24h': 22162458.0, 'marketCap': 329388123.3657108, 'percentChange1h': -1.91788, 'percentChange24h': 14.1511, 'percentChange7d': 38.8224, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 0.02384238, 'volume24h': 22690.46415924, 'marketCap': 337235.58134706, 'percentChange1h': -1.91788, 'percentChange24h': 14.1511, 'percentChange7d': 38.8224, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#328,2014-05-21T00:00:00.000Z,,14144374.440137,14144374.440137,,4,2017-03-19T23:59:10.000Z,2024-09-24T15:35:29Z
52,XRP,XRP,xrp,5,37338114912.0,99995788498.0,100000000000.0,2017-03-19T23:59:02.000Z,2013-08-04T00:00:00.000Z,,"[{'name': '2781', 'price': 0.00691246, 'volume24h': 4241973.0, 'marketCap': 258098176.81777, 'percentChange1h': 0.26361, 'percentChange24h': 1.53013, 'percentChange7d': 10.1392, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 7.08e-06, 'volume24h': 4343.03525001, 'marketCap': 264247.19815146, 'percentChange1h': 0.26361, 'percentChange24h': 1.53013, 'percentChange7d': 10.1392, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#52,2013-08-04T00:00:00.000Z,100000000000.0,37338114912.0,99995788498.0,,5,2017-03-19T23:59:02.000Z,2024-09-24T15:35:29Z
2,Litecoin,LTC,litecoin,6,50260982.3718871,50260982.3718871,84000000.0,2017-03-19T23:59:00.000Z,2013-04-28T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 3.95641303, 'volume24h': 6013045.5, 'marketCap': 198853205.58811688, 'percentChange1h': -0.583098, 'percentChange24h': -0.875063, 'percentChange7d': 2.81934, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 0.00405067, 'volume24h': 6156.30240137, 'marketCap': 203590.7539835, 'percentChange1h': -0.583098, 'percentChange24h': -0.875063, 'percentChange7d': 2.81934, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#2,2013-04-28T00:00:00.000Z,84000000.0,50260982.3718871,50260982.3718871,,6,2017-03-19T23:59:00.000Z,2024-09-24T15:35:29Z
1321,Ethereum Classic,ETC,ethereum-classic,7,89877499.0,89877499.0,210000000.0,2017-03-19T23:59:32.000Z,2016-07-24T00:00:00.000Z,['mineable'],"[{'name': '2781', 'price': 1.92196751, 'volume24h': 6790523.0, 'marketCap': 172741632.63527954, 'percentChange1h': -3.12885, 'percentChange24h': 11.6154, 'percentChange7d': 34.6829, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 0.00196776, 'volume24h': 6952.30279755, 'marketCap': 176857.08977406, 'percentChange1h': -3.12885, 'percentChange24h': 11.6154, 'percentChange7d': 34.6829, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#1321,2016-07-24T00:00:00.000Z,210000000.0,89877499.0,89877499.0,,7,2017-03-19T23:59:32.000Z,2024-09-24T15:35:30Z
873,NEM,XEM,nem,8,8999999999.0,8999999999.0,,2017-03-19T23:59:19.000Z,2015-04-01T00:00:00.000Z,,"[{'name': '2781', 'price': 0.01647445, 'volume24h': 2619468.5, 'marketCap': 148270066.81106132, 'percentChange1h': -4.70525, 'percentChange24h': 39.3241, 'percentChange7d': 64.8732, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 1.687e-05, 'volume24h': 2681.87563471, 'marketCap': 151802.5047973, 'percentChange1h': -4.70525, 'percentChange24h': 39.3241, 'percentChange7d': 64.8732, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#873,2015-04-01T00:00:00.000Z,,8999999999.0,8999999999.0,,8,2017-03-19T23:59:19.000Z,2024-09-24T15:35:30Z
1104,Augur,REP,augur,9,11000000.0,11000000.0,,2017-03-19T23:59:23.000Z,2015-10-27T00:00:00.000Z,,"[{'name': '2781', 'price': 8.43370628, 'volume24h': 1571221.625, 'marketCap': 92770769.11926274, 'percentChange1h': -0.902716, 'percentChange24h': 21.2721, 'percentChange7d': 16.2535, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 0.00863463, 'volume24h': 1608.65495913, 'marketCap': 94980.97240505, 'percentChange1h': -0.902716, 'percentChange24h': 21.2721, 'percentChange7d': 16.2535, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#1104,2015-10-27T00:00:00.000Z,,11000000.0,11000000.0,"{'id': 1, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x1985365e9f78359a9B6AD760e32412f4a445E862'}",9,2017-03-19T23:59:23.000Z,2024-09-24T15:35:30Z
291,MaidSafeCoin,MAID,maidsafecoin,10,452552412.0,452552412.0,,2017-03-19T23:59:08.000Z,2014-04-28T00:00:00.000Z,,"[{'name': '2781', 'price': 0.16617231, 'volume24h': 484811.53125, 'marketCap': 75201680.01940267, 'percentChange1h': -0.924511, 'percentChange24h': 7.32249, 'percentChange7d': -4.57769, 'lastUpdated': '2017-03-19T00:00:00.000Z'}, {'name': '1', 'price': 0.00017013, 'volume24h': 496.36185092, 'marketCap': 76993.31117492, 'percentChange1h': -0.924511, 'percentChange24h': 7.32249, 'percentChange7d': -4.57769, 'lastUpdated': '2017-03-19T12:00:00Z'}]",https://coinmarketcap.com/historical/20170319/#291,2014-04-28T00:00:00.000Z,,452552412.0,452552412.0,,10,2017-03-19T23:59:08.000Z,2024-09-24T15:35:30Z
