,8,"Dogecoin
DOGE",$0.1091,0.05%,2.06%,8.07%,"$15,937,476,718","$709,230,131
6,489,704,964 DOGE","146,093,906,384 DOGE",,,,https://coinmarketcap.com/currencies/dogecoin/,,,,,,,,
,13,"Shiba Inu
SHIB",$0.00001477,0.37%,2.25%,10.80%,"$8,705,958,484","$186,301,309
12,596,559,818,998 SHIB","589,269,481,707,590 SHIB",,,,https://coinmarketcap.com/currencies/shiba-inu/,,,,,,,,
,28,"Pepe
PEPE",$0.058522,0.35%,5.82%,16.83%,"$3,585,169,344","$785,720,741
91,893,387,470,092 PEPE","420,689,899,999,995 PEPE",,,,https://coinmarketcap.com/currencies/pepe/,,,,,,,,
,46,"dogwifhat
WIF",$2.00,0.78%,14.79%,31.18%,"$2,001,524,129","$639,615,394
318,926,388 WIF","998,845,459 WIF",,,,https://coinmarketcap.com/currencies/dogwifhat/,,,,,,,,
,57,"FLOKI
FLOKI",$0.0001419,0.43%,6.16%,17.18%,"$1,361,602,960","$217,368,204
1,531,470,258,426 FLOKI","9,593,189,785,393 FLOKI",,,,https://coinmarketcap.com/currencies/floki-inu/,,,,,,,,
,59,"Bonk
BONK",$0.00001831,0.39%,5.19%,10.70%,"$1,293,453,730","$118,651,760
6,477,423,182,406 BONK","70,642,474,260,513 BONK",,,,https://coinmarketcap.com/currencies/bonk1/,,,,,,,,
,73,"Popcat (SOL)
POPCAT",$0.9514,3.88%,1.94%,33.72%,"$932,331,680","$79,432,705
83,977,368 POPCAT","979,973,185 POPCAT",,,,https://coinmarketcap.com/currencies/popcat-sol/,,,,,,,,
,76,"Brett (Based)
BRETT",$0.08543,0.76%,4.17%,11.69%,"$846,642,882","$25,249,134
295,497,146 BRETT","9,910,236,395 BRETT",,,,https://coinmarketcap.com/currencies/based-brett/,,,,,,,,
,115,"cat in a dogs world
MEW",$0.005676,2.67%,2.08%,34.20%,"$504,500,147","$93,062,633
16,332,174,929 MEW","88,888,888,888 MEW",,,,https://coinmarketcap.com/currencies/mew/,,,,,,,,
,124,"BOOK OF MEME
BOME",$0.006934,0.16%,4.97%,15.03%,"$478,167,655","$152,796,088
21,995,260,733 BOME","68,961,762,519 BOME",,,,https://coinmarketcap.com/currencies/book-of-meme/,,,,,,,,
,130,"Mog Coin
MOG",$0.05127,3.32%,5.01%,34.73%,"$457,895,974","$18,545,170
14,673,836,981,709 MOG","360,447,686,344,656 MOG",,,,https://coinmarketcap.com/currencies/mog-coin/,,,,,,,,
,132,"DOGS
DOGS",$0.0008734,0.91%,1.44%,8.68%,"$451,317,746","$141,986,510
162,769,102,531 DOGS","516,750,000,000 DOGS",,,,https://coinmarketcap.com/currencies/dogs/,,,,,,,,
,165,"Baby Doge Coin
BabyDoge",$0.081966,0.51%,3.17%,6.77%,"$300,430,159","$20,218,715
10,285,708,825,124,744 BABYDOGE","152,835,489,472,964,896 BabyDoge",,,,https://coinmarketcap.com/currencies/baby-doge-coin/,,,,,,,,
,171,"Memecoin
MEME",$0.01099,0.04%,2.37%,11.74%,"$292,687,728","$27,124,073
2,467,077,767 MEME","26,621,495,891 MEME",,,,https://coinmarketcap.com/currencies/meme/,,,,,,,,
,208,"First Neiro On Ethereum
NEIRO",$0.001185,0.06%,3.81%,73.23%,"$498,106,771","$422,807,583
356,848,379,692 NEIRO","420,400,676,508 NEIRO",,,,https://coinmarketcap.com/currencies/first-neiro-on-ethereum/,,,,,,,,
,209,"PepeCoin
PEPECOIN",$3.57,0.71%,0.01%,24.50%,"$417,925,599","$4,498,360
1,259,678 PEPECOIN","117,031,933 PEPECOIN",,,,https://coinmarketcap.com/currencies/pepecoin/,,,,,,,,
,210,"Turbo
TURBO",$0.006398,2.07%,2.32%,18.91%,"$412,631,589","$94,150,285
14,530,393,223 TURBO","64,490,000,000 TURBO",,,,https://coinmarketcap.com/currencies/turbo/,,,,,,,,
,212,"SUNDOG
SUNDOG",$0.3515,0.05%,9.69%,5.05%,"$350,575,657","$138,046,256
394,036,094 SUNDOG","997,455,989 SUNDOG",,,,https://coinmarketcap.com/currencies/sundog/,,,,,,,,
,218,"Dog (Runes)
DOG",$0.002698,0.68%,6.80%,15.39%,"$269,753,465","$3,848,990
1,426,444,286 DOG","100,000,000,000 DOG",,,,https://coinmarketcap.com/currencies/dog-go-to-the-moon-rune/,,,,,,,,
,219,"Simon's Cat
CAT",$0.00003971,1.64%,2.98%,11.28%,"$268,021,456","$77,286,180
1,941,041,940,642 CAT","6,749,955,322,109 CAT",,,,https://coinmarketcap.com/currencies/simonscat/,,,,,,,,
