,1879,"Bruh
BRUH",$0.0006978,1.64%,0.68%,133.06%,"$697,837","$1,274,629
1,826,543,324 BRUH","1,000,000,000 BRUH",,,,https://coinmarketcap.com/currencies/bruh-eth/,,,,,,,,
,1916,"WOOF
WOOF",$0.00003393,1.21%,4.36%,8.73%,"$607,488","$1,415
41,705,326 WOOF","17,902,999,424 WOOF",,,,https://coinmarketcap.com/currencies/woof/,,,,,,,,
,1923,"Wiggly Willy
WIWI",$0.069148,0.00%,0.93%,21.61%,"$595,326","$166
181,642,414 WIWI","650,800,832,867 WIWI",,,,https://coinmarketcap.com/currencies/wiggly-willy/,,,,,,,,
,1924,"The Dons
DONS",$0.00007305,0.05%,0.19%,0.97%,"$595,325","$15,144
207,315,690 DONS","8,150,000,000 DONS",,,,https://coinmarketcap.com/currencies/the-dons/,,,,,,,,
,1947,"ROD.AI
RODAI",$0.071011,1.31%,5.76%,48.60%,"$553,983","$81,919
8,103,328,308,829 RODAI","54,799,095,330,128 RODAI",,,,https://coinmarketcap.com/currencies/rod-ai/,,,,,,,,
,1953,"Soyjak
SOY",$0.0005896,0.74%,8.60%,7.59%,"$546,319","$36,246
61,474,077 SOY","926,557,989 SOY",,,,https://coinmarketcap.com/currencies/soyjak/,,,,,,,,
,1954,"Eggdog
EGG",$0.0005759,2.33%,9.67%,24.84%,"$544,450","$43,197
75,003,662 EGG","945,334,730 EGG",,,,https://coinmarketcap.com/currencies/eggdog/,,,,,,,,
,1959,"Baby
BABY",$0.065515,2.40%,3.58%,25.07%,"$541,349","$26,263
47,620,276,097 BABY","981,563,093,628 BABY",,,,https://coinmarketcap.com/currencies/baby-sol/,,,,,,,,
,1984,"REKT
$REKT",$0.004463,0.00%,3.62%,23.26%,"$495,913","$280
62,751 $REKT","111,111,111 $REKT",,,,https://coinmarketcap.com/currencies/rektcoin-new/,,,,,,,,
,1984,"REKT
$REKT",$0.004463,0.00%,3.62%,23.26%,"$495,913","$280
62,751 $REKT","111,111,111 $REKT",,,,https://coinmarketcap.com/currencies/rektcoin-new/,,,,,,,,
,1985,"DOGWIFHOOD
WIF",$0.0004958,0.01%,5.51%,12.25%,"$495,285","$188
378,790 WIF","998,920,173 WIF",,,,https://coinmarketcap.com/currencies/dogwifhood/,,,,,,,,
,2004,"Oggy Inu (BSC)
OGGY",$0.0114436,0.29%,45.55%,115.08%,"$479,634","$4,119
928,457,784,089,402 OGGY","108,125,205,623,924,992 OGGY",,,,https://coinmarketcap.com/currencies/oggy-inu/,,,,,,,,
,1999,"sunpepe
SUNPEPE",$0.0004782,3.85%,0.14%,33.83%,"$478,248","$135,851
278,020,557 SUNPEPE","1,000,000,000 SUNPEPE",,,,https://coinmarketcap.com/currencies/sunpepe/,,,,,,,,
,2019,"Solzilla
SOLZILLA",$0.097144,3.65%,29.70%,170.52%,"$458,031","$26,733
37,422,957,791,912 SOLZILLA","641,180,240,641,250 SOLZILLA",,,,https://coinmarketcap.com/currencies/solzilla/,,,,,,,,
,2021,"Shib Original Vision
SOV",$0.084297,0.02%,38.92%,55.34%,"$456,177",--,"106,155,823,814,847 SOV",,,,https://coinmarketcap.com/currencies/shib-original-vision/,,,,,,,,
,2030,"To The Sun
SUNPUMP",$0.0004488,0.07%,6.61%,30.96%,"$426,395","$339,897
757,283,820 SUNPUMP","950,000,000 SUNPUMP",,,,https://coinmarketcap.com/currencies/to-the-sun/,,,,,,,,
,2034,"Loser Coin
LOWB",$0.056994,0.09%,1.97%,8.76%,"$421,714","$146
20,890,014 LOWB","60,296,840,158 LOWB",,,,https://coinmarketcap.com/currencies/loser-coin/,,,,,,,,
,2040,"Carlo
CARLO",$0.0004494,0.23%,4.72%,53.09%,"$416,547","$20,210
44,973,130 CARLO","926,931,816 CARLO",,,,https://coinmarketcap.com/currencies/carlo/,,,,,,,,
,2062,"Papu Token
PAPU",$0.0712,0.82%,2.38%,37.39%,"$380,386","$650,280
54,201,005,043,784 PAPU","31,705,315,177,457 PAPU",,,,https://coinmarketcap.com/currencies/papu-token/,,,,,,,,
,2086,"WaifuAI
WFAI",$0.08294,3.03%,4.23%,11.90%,"$330,383","$335
114,066,037,617 WFAI","112,375,887,121,422 WFAI",,,,https://coinmarketcap.com/currencies/waifuai/,,,,,,,,
,2095,"FOMO BULL CLUB
FOMO",$0.059501,0.04%,6.91%,11.94%,"$317,981","$117,489
12,364,232,006 FOMO","33,463,524,580 FOMO",,,,https://coinmarketcap.com/currencies/fomo-bull-club/,,,,,,,,
,2101,"Minu
MINU",$0.075674,6.86%,1.74%,67.79%,"$311,937","$185,221
3,264,467,678,693 MINU","5,497,812,053,431 MINU",,,,https://coinmarketcap.com/currencies/minu/,,,,,,,,
,2103,"Nutcoin
NUT",$0.071541,0.07%,2.22%,15.73%,"$309,761","$885,506
57,438,595,648,119 NUT","20,092,757,543,431 NUT",,,,https://coinmarketcap.com/currencies/nutcoin-org/,,,,,,,,
,2105,"BULLS
BULLS",$0.0003085,0.00%,1.22%,10.04%,"$308,511","$140
453,926 BULLS","1,000,000,000 BULLS",,,,https://coinmarketcap.com/currencies/bulls-meme/,,,,,,,,
,2110,"Sonic The Goat
GOAT",$0.063383,0.00%,1.26%,5.59%,"$299,740","$1
4,050,043 GOAT","886,102,835,021 GOAT",,,,https://coinmarketcap.com/currencies/sonic-the-goat/,,,,,,,,
,2118,"Papi
PAPI",$0.063127,0.00%,1.20%,15.14%,"$292,375",--,"935,000,001,014 PAPI",,,,https://coinmarketcap.com/currencies/papi/,,,,,,,,
,2141,"BullBear AI
AIBB",$0.091271,0.05%,3.19%,7.38%,"$260,015","$4,899
38,543,480,649,516 AIBB","2,045,833,899,998,990 AIBB",,,,https://coinmarketcap.com/currencies/bullbear-ai/,,,,,,,,
,2146,"X
X",$0.062765,1.45%,1.85%,9.88%,"$259,370","$24,143
88,183,256,312 X","937,909,395,732 X",,,,https://coinmarketcap.com/currencies/xerc20-pro/,,,,,,,,
,2148,"Based Shiba Inu
BSHIB",$0.00002822,1.27%,2.36%,42.15%,"$255,168","$384
13,593,893 BSHIB","9,041,391,107 BSHIB",,,,https://coinmarketcap.com/currencies/based-shiba-inu/,,,,,,,,
,2154,"Cat Token
CAT",$0.0382,0.00%,4.62%,28.14%,"$249,340","$1,524
39,887 CAT","6,527,607 CAT",,,,https://coinmarketcap.com/currencies/cat-token/,,,,,,,,
,2156,"SAITAMA INU
SAITAMA",$0.0003677,0.00%,0.71%,27.85%,"$245,076","$37
99,831 SAITAMA","666,473,388 SAITAMA",,,,https://coinmarketcap.com/currencies/saitama-eth/,,,,,,,,
,2170,"YAWN [Old]
$YAWN",$0.00003692,0.58%,0.15%,0.36%,"$236,848","$94,132
2,551,319,829 $YAWN","6,415,537,023 $YAWN",,,,https://coinmarketcap.com/currencies/yawn/,,,,,,,,
,2173,"Oggy Inu (ETH)
OGGY",$0.051164,0.00%,11.91%,20.21%,"$234,366","$608
522,294,214 OGGY","201,272,222,574 OGGY",,,,https://coinmarketcap.com/currencies/oggy-inu-eth/,,,,,,,,
,2185,"Make America Based Again
MABA",$0.000242,1.13%,3.65%,12.87%,"$223,187","$290
1,197,626 MABA","922,406,264 MABA",,,,https://coinmarketcap.com/currencies/make-america-based-again/,,,,,,,,
,2187,"Boss Token
BOSS",$0.095592,0.50%,80.56%,78.60%,"$222,767","$920
1,645,693,808,179 BOSS","398,378,640,487,378 BOSS",,,,https://coinmarketcap.com/currencies/boss-token/,,,,,,,,
,2200,"Caitlyn Jenner (ETH)
JENNER",$0.0002184,22.53%,11.37%,17.36%,"$210,671","$44,434
203,452,973 JENNER","964,572,862 JENNER",,,,https://coinmarketcap.com/currencies/caitlyn-jenner-eth/,,,,,,,,
,2207,"CZ THE GOAT
CZGOAT",$0.0002492,2.38%,1.99%,30.55%,"$207,202","$2,620
10,512,069 CZGOAT","831,500,000 CZGOAT",,,,https://coinmarketcap.com/currencies/cz-the-goat/,,,,,,,,
,2206,"Bufficorn
BUFFI",$0.06499,3.33%,5.15%,187.63%,"$205,744","$182,034
364,765,243,759 BUFFI","412,275,876,005 BUFFI",,,,https://coinmarketcap.com/currencies/bufficorn/,,,,,,,,
,2227,"DOGEMOB
DOGEMOB",$0.0003778,0.33%,1.40%,8.35%,"$188,709","$8,995
23,804,405 DOGEMOB","499,450,092 DOGEMOB",,,,https://coinmarketcap.com/currencies/dogemob/,,,,,,,,
,2252,"KING
KING",$0.00001773,0.12%,3.44%,3.79%,"$164,342","$1,102
62,150,279 KING","9,270,000,000 KING",,,,https://coinmarketcap.com/currencies/king/,,,,,,,,
,2271,"Nvidia Inu
NINU",$0.00002172,0.00%,5.77%,45.16%,"$155,704","$937
43,147,414 NINU","7,169,798,421 NINU",,,,https://coinmarketcap.com/currencies/nvidia-inu/,,,,,,,,
,2273,"Kangal
KANGAL",$0.051545,0.00%,7.33%,12.89%,"$154,456","$241
155,824,361 KANGAL","100,000,000,000 KANGAL",,,,https://coinmarketcap.com/currencies/kangal/,,,,,,,,
,2313,"SNOOPYBABE
SBABE",$0.00001218,0.31%,5.36%,7.09%,"$121,829","$1,107
91,058,535 SBABE","10,000,000,000 SBABE",,,,https://coinmarketcap.com/currencies/snoopybabe/,,,,,,,,
,2316,"NeverSurrenderOne's
NSO",$0.0001838,0.60%,2.99%,0.44%,"$118,199","$214
1,166,603 NSO","643,211,430 NSO",,,,https://coinmarketcap.com/currencies/neversurrenderones/,,,,,,,,
,2325,"Donkey King
DOKY",$0.00001324,1.43%,6.59%,41.38%,"$114,850","$13,180
1,003,875,627 DOKY","8,674,561,969 DOKY",,,,https://coinmarketcap.com/currencies/donkey-king/,,,,,,,,
,2336,"Godcat Exploding Kittens
GODCAT",$0.0001363,3.52%,2.66%,18.70%,"$108,622","$8,839
64,854,132 GODCAT","796,928,437 GODCAT",,,,https://coinmarketcap.com/currencies/godcatexplodingkittens/,,,,,,,,
,2349,"PengyOS
POS",$0.0001022,0.42%,2.09%,1.61%,"$101,773","$278
2,718,352 POS","995,704,045 POS",,,,https://coinmarketcap.com/currencies/pengy/,,,,,,,,
,2366,"Dragonball Z Tribute
DBZ",$0.061384,0.05%,1.43%,9.99%,"$96,097","$708,902
5,120,316,247,625 DBZ","694,098,308,523 DBZ",,,,https://coinmarketcap.com/currencies/dragonball-z-tribute/,,,,,,,,
,2414,"Dogy
DOGY",$0.07822,2.45%,7.89%,16.50%,"$71,501","$125,754
1,563,318,076,334 DOGY","869,874,288,557 DOGY",,,,https://coinmarketcap.com/currencies/dogy/,,,,,,,,
,2415,"MAGE
MAGE",$0.05567,0.01%,7.81%,7.37%,"$69,793","$103
18,124,785 MAGE","12,309,768,420 MAGE",,,,https://coinmarketcap.com/currencies/mage/,,,,,,,,
,2416,"404Aliens
404A",$6.88,14.68%,3.24%,38.41%,"$68,797","$647
94 404A","10,000 404A",,,,https://coinmarketcap.com/currencies/404aliens/,,,,,,,,
,2450,"Tate Stop
TME",$0.00002081,0.00%,0.00%,7.75%,"$50,932",--,"2,447,944,828 TME",,,,https://coinmarketcap.com/currencies/tate-stop/,,,,,,,,
,2510,"Catman
CATMAN",$0.00002999,0.00%,7.28%,3.22%,"$28,501","$1,048
34,939,806 CATMAN","950,392,964 CATMAN",,,,https://coinmarketcap.com/currencies/catman/,,,,,,,,
,2525,"Hawk Tuah
HAWK",$0.0000233,0.00%,0.00%,7.21%,"$22,437",--,"962,810,869 HAWK",,,,https://coinmarketcap.com/currencies/hawktuuuah/,,,,,,,,
,2552,"Meme Cup
MEMECUP",$0.00001859,52.66%,95.30%,50.19%,"$16,735","$3,687
201,568,417 MEMECUP","900,000,000 MEMECUP",,,,https://coinmarketcap.com/currencies/meme-cup/,,,,,,,,
,2570,"Dogeswap
DOGES",$0.6619,5.72%,4.95%,0.24%,"$13,238",--,"20,000 DOGES",,,,https://coinmarketcap.com/currencies/dogeswap/,,,,,,,,
,2668,"rats (Ordinals)
rats",$0.0001506,0.42%,9.96%,58.01%,"$150,876,985","$34,739,123
230,247,994,579 RATS","1,000,000,000,000 rats",,,,https://coinmarketcap.com/currencies/rats-ordinals/,,,,,,,,
,2673,"Baby Doge Coin
1MBABYDOGE",$0.00197,0.05%,2.86%,7.98%,"$294,739,791","$20,733,815
10,526,195,018 1MBABYDOGE","149,634,234,045 1MBABYDOGE",,,,https://coinmarketcap.com/currencies/1m-baby-doge-coin/,,,,,,,,
,2689,"Kamala Harris (kamalaharristoken.xyz)
HARRIS",$0.00001924,4.10%,25.40%,149.82%,"$8,104,849","$9,484,885
492,322,107,205 HARRIS","420,690,000,000 HARRIS",,,,https://coinmarketcap.com/currencies/kamala-harris-eth/,,,,,,,,
,2690,"Mao
MAO",$0.0165,2.69%,11.85%,14.45%,"$16,499,402","$9,050,675
548,545,631 MAO","1,000,000,000 MAO",,,,https://coinmarketcap.com/currencies/maobnb/,,,,,,,,
,2695,"Arbi Pepe
PEPE",$0.058521,0.28%,5.72%,16.93%,--,"$7,987,832
934,930,694,345 PEPE",--,,,,https://coinmarketcap.com/currencies/arbi-pepe/,,,,,,,,
,2696,"My Dog Is The DEV
DEV",$0.004567,1.70%,4.70%,36.43%,"$4,566,323","$7,847,708
1,718,605,403 DEV","1,000,000,000 DEV",,,,https://coinmarketcap.com/currencies/my-dog-is-the-dev/,,,,,,,,
