,6802,"NORMUS
NORMUS",$0.00003017,0.00%,0.40%,17.05%,"$30,170","$123
4,082,926 NORMUS","1,000,000,000 NORMUS",,,,https://coinmarketcap.com/currencies/basednormus/,,,,,,,,
,6803,"ハチ公
HACHIKO",$0.078499,0.00%,1.62%,15.68%,"$35,756","$123
1,446,901,993 HACHIKO","420,690,000,000 HACHIKO",,,,https://coinmarketcap.com/currencies/hachiko-erc/,,,,,,,,
,6808,"Rage
RAGE",$0.0102932,0.00%,3.55%,6.61%,"$20,258","$122
4,147,404,813,858 RAGE","690,690,690,690,690 RAGE",,,,https://coinmarketcap.com/currencies/rage/,,,,,,,,
,6810,BrianArmstrongCoinbaseUSDC2012,$0.065046,0.96%,0.79%,26.14%,"$34,817","$121
240,110,452 BASE","69,000,000,000 BASE",,,,https://coinmarketcap.com/currencies/brianarmstrongcoinbaseusdc2012/,,,,,,,,
,6818,"Dancing Lizard Coin
LIZD",$0.0113347,0.02%,6.64%,9.87%,"$2,737","$119
35,549,223,976,518 LIZD","817,777,777,777,777 LIZD",,,,https://coinmarketcap.com/currencies/dancing-lizard-coin/,,,,,,,,
,6821,"Block
BLOCK",$0.0001061,0.48%,2.36%,13.66%,"$105,622","$118
1,114,398 BLOCK","995,241,003 BLOCK",,,,https://coinmarketcap.com/currencies/block/,,,,,,,,
,6822,"Pambicoin
PAMBI",$0.00007586,0.00%,1.45%,6.72%,"$64,479","$118
1,557,729 PAMBI","850,000,000 PAMBI",,,,https://coinmarketcap.com/currencies/pambicoin/,,,,,,,,
,6823,"POΞ
POΞ",$0.00001879,0.00%,1.86%,3.83%,"$18,786","$118
6,288,557 POΞ","1,000,000,000 POΞ",,,,https://coinmarketcap.com/currencies/poe/,,,,,,,,
,6832,"Neged
NEGED",$0.00004673,0.00%,2.61%,17.77%,"$32,994","$117
2,510,267 NEGED","705,988,456 NEGED",,,,https://coinmarketcap.com/currencies/neged/,,,,,,,,
,6832,"Neged
NEGED",$0.00004673,0.00%,2.61%,17.77%,"$32,994","$117
2,510,267 NEGED","705,988,456 NEGED",,,,https://coinmarketcap.com/currencies/neged/,,,,,,,,
,6838,"Rex
REX",$0.0002266,0.00%,0.22%,12.11%,"$22,660","$116
513,036 REX","99,999,999 REX",,,,https://coinmarketcap.com/currencies/rex/,,,,,,,,
,6847,"Jerry
JERRY",$0.00001217,0.00%,3.76%,7.42%,"$11,769","$114
9,367,737 JERRY","967,098,444 JERRY",,,,https://coinmarketcap.com/currencies/jerry-on-sol/,,,,,,,,
,6853,"BONKLANA
BOK",$0.000302,2.08%,4.98%,3.69%,"$127,041","$113
373,885 BOK","420,690,690 BOK",,,,https://coinmarketcap.com/currencies/bonklana/,,,,,,,,
,6859,"Pe
PE",$0.0001908,0.00%,4.40%,80.93%,"$70,600","$110
577,699 PE","370,100,000 PE",,,,https://coinmarketcap.com/currencies/pe/,,,,,,,,
,6860,"greg
greg",$0.0123635,1.39%,7.14%,12.94%,"$15,290","$110
302,922,486,395,044 GREG","42,069,000,000,000,000 greg",,,,https://coinmarketcap.com/currencies/greg-token/,,,,,,,,
,6863,"TUCKER CARLSON
TUCKER",$0.05189,0.00%,0.33%,23.77%,"$150,401","$109
57,655,665 TUCKER","79,560,000,000 TUCKER",,,,https://coinmarketcap.com/currencies/tucker-carlson/,,,,,,,,
,6871,"King Trump
KINGTRUMP",$0.013725,0.00%,5.61%,9.80%,"$30,452","$108
1,489,212,346,653,411 KINGTRUMP","420,000,000,000,000,000 KINGTRUMP",,,,https://coinmarketcap.com/currencies/king-trump/,,,,,,,,
,6882,"Brianwifhat
BIF",$0.079291,0.00%,3.76%,38.90%,"$39,021","$106
1,141,254,940 BIF","420,000,000,000 BIF",,,,https://coinmarketcap.com/currencies/brianwifhat/,,,,,,,,
,6884,"Memes vs Undead
MVU",$0.0101,0.23%,0.74%,5.73%,"$16,870","$105
10,430 MVU","1,670,000 MVU",,,,https://coinmarketcap.com/currencies/memes-vs-undead/,,,,,,,,
