--,--,"IQeon
IQN",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/iqeon/,,,,,,,,
--,--,"Aircoins
AIRX",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/aircoins/,,,,,,,,
--,--,"Global Game Coin
GGC",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/global-game-coin/,,,,,,,,
--,--,"Intergalactic Gold
IGG",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/intergalactic-gold/,,,,,,,,
--,--,"SCC DIGforIT
SCC",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/scc-digforit/,,,,,,,,
--,--,"Wrapped Origin Axie
WOA",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/wrapped-origin-axie/,,,,,,,,
--,--,"Dracula Token
DRC",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/dracula-token/,,,,,,,,
--,--,"Wrapped Gen-0 CryptoKitties
WG0",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/wrapped-gen-0-cryptokitties/,,,,,,,,
--,--,"Pteria
PTERIA",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/pteria/,,,,,,,,
--,--,"Itchiro Games
JEM",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/itchiro-games/,,,,,,,,
--,--,"Vanilla Network
VNLA",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/vanilla-network/,,,,,,,,
--,--,"Decentral Games [Old]
DG",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/decentral-games-old/,,,,,,,,
--,--,"Royale Finance
ROYA",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/royale-finance/,,,,,,,,
--,--,"DFSocial Gaming [old]
DFSOCIAL",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/defisocial-gaming/,,,,,,,,
--,--,"Zytara dollar
ZUSD",--,--,--,--,--,--,--,--,,,https://coinmarketcap.com/currencies/zytara-dollar/,,,,,,,,
