name,symbol,cmcRank,circulatingSupply,totalSupply,maxSupply,dateAdded,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d
Bitcoin,BTC,1,11091325.0,11091325.0,21000000.0,2013-04-28T00:00:00.000Z,134.21002197,0.0,1488566971.9558687,0.639231,,
Litecoin,LTC,2,17164230.0,17164230.0,84000000.0,2013-04-28T00:00:00.000Z,4.34840488,0.0,74637021.56790735,0.799273,,
Peercoin,PPC,3,18757362.0,18757362.0,,2013-04-28T00:00:00.000Z,0.38652486,0.0,7250186.64768828,-0.934763,,
Namecoin,NMC,4,5415300.0,5415300.0,,2013-04-28T00:00:00.000Z,1.10723269,0.0,5995997.18538521,-0.0505028,,
Terracoin,TRC,5,2323569.75,2323569.75,42000000.0,2013-04-28T00:00:00.000Z,0.64689231,0.0,1503099.40113884,0.609159,,
Devcoin,DVC,6,4366620160.0,4366620160.0,,2013-04-28T00:00:00.000Z,0.00032613,0.0,1424087.29757242,0.461694,,
Novacoin,NVC,7,273705.9375,273705.9375,,2013-04-28T00:00:00.000Z,4.24640512,0.0,1162266.29565105,2.13819,,
