name,symbol,cmcRank,circulatingSupply,totalSupply,maxSupply,dateAdded,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d
Bitcoin,BTC,1,15729500.0,15729500.0,21000000.0,2013-04-28T00:00:00.000Z,658.66357422,129511632.0,10360448690.673828,-0.714765,-6.09766,3.81395
Ethereum,ETH,2,81638196.124,81638196.124,,2015-08-07T00:00:00.000Z,11.7202177,10588737.0,956817431.598227,-1.01723,-3.20847,-15.3783
XRP,XRP,3,35345971933.0,99997322412.0,100000000000.0,2013-08-04T00:00:00.000Z,0.00660746,536310.8125,233547238.82466593,-0.227631,-1.53238,3.2521
Litecoin,LTC,4,46503479.2468872,46503479.2468872,84000000.0,2013-04-28T00:00:00.000Z,4.25329447,7659710.5,197792991.02009827,-0.943791,-7.70222,4.14865
The DAO,DAO,5,1153836913.0,1153836913.0,,2016-05-16T00:00:00.000Z,0.09007826,1069507.625,103935618.01332527,-0.866601,-3.48765,-17.7386
NEM,XEM,6,8999999999.0,8999999999.0,,2015-04-01T00:00:00.000Z,0.01076844,1352364.375,96915964.95773375,-0.887264,1.37195,59.232
Dash,DASH,7,6562509.40130875,6562509.40130875,18900000.0,2014-02-14T00:00:00.000Z,7.01169825,259776.4375,46014335.65852951,-0.511915,-2.14733,2.56664
MaidSafeCoin,MAID,8,452552412.0,452552412.0,,2014-04-28T00:00:00.000Z,0.07110384,178903.921875,32178214.7770461,-1.18695,-0.741488,-5.44642
Lisk,LSK,9,100000000.0,100000000.0,,2016-04-06T00:00:00.000Z,0.30140632,407207.9375,30140632.390976,-1.00601,-2.70215,-8.04691
Dogecoin,DOGE,10,105016389699.305,105016389699.305,,2013-12-15T00:00:00.000Z,0.00028222,472626.75,29637430.98146216,-0.626128,-7.34298,-0.422359
Nxt,NXT,11,998999999.0,998999999.0,1000000000.0,2013-12-04T00:00:00.000Z,0.02133974,450192.875,21318402.70300085,-0.0847482,-9.0958,20.7654
Monero,XMR,12,12310859.510902,12310859.510902,,2014-05-21T00:00:00.000Z,1.7029829,326072.4375,20965183.26247629,-0.294428,-2.81062,15.7646
DigixDAO,DGD,13,2000000.0,2000000.0,,2016-04-18T00:00:00.000Z,10.05803204,39056.640625,20116064.0716552,-0.103024,-0.915606,-9.13447
Waves,WAVES,14,100000000.0,100000000.0,,2016-06-02T00:00:00.000Z,0.19279256,334446.75,19279256.4630508,-0.277845,4.80472,13.9377
Steem,STEEM,15,72043260.0,89017354.0,,2016-04-18T00:00:00.000Z,0.23556985,13492.78515625,16971219.92363783,0.25307,7.15091,15.1596
Emercoin,EMC,16,38058736.830682,38058736.830682,,2014-08-23T00:00:00.000Z,0.39549726,270957.4375,15052126.22990061,-2.90097,23.0173,144.597
HyperSpace,AMP,17,184800000.0,1680400000.0,,2015-12-04T00:00:00.000Z,0.07716152,6300.93066406,14259449.02896881,-3.71251,6.71693,13.7031
Factom,FCT,18,8753219.0,8753219.0,,2015-10-06T00:00:00.000Z,1.44644654,829406.0,12661063.31865636,-0.943059,4.62598,32.5625
Siacoin,SC,19,15830692655.0,15830692655.0,,2015-08-26T00:00:00.000Z,0.00078319,328870.0,12398500.30971566,-0.518055,-4.85505,-22.324
BitShares,BTS,20,2565010000.0,2565010000.0,3600570502.0,2014-07-21T00:00:00.000Z,0.00450623,201562.78125,11558522.33782876,1.48465,-5.95318,17.3124
Stellar,XLM,21,5485679598.0,100804167793.0,,2014-08-05T00:00:00.000Z,0.00192795,49340.140625,10576117.00489324,-0.630035,-4.9593,-4.05167
Peercoin,PPC,22,23284793.9895654,23284793.9895654,,2013-04-28T00:00:00.000Z,0.39817226,59972.07421875,9271359.03087632,-0.645242,-6.00564,1.61561
Bytecoin,BCN,23,180723458744.78,180723458744.78,184470000000.0,2014-06-17T00:00:00.000Z,4.421e-05,945.03808594,7990424.31016592,-0.779047,1.60137,27.208
Counterparty,XCP,24,2626244.0783785,2626244.0783785,,2014-02-15T00:00:00.000Z,2.74291825,43865.62890625,7203572.81927298,-2.639,15.7172,58.4447
NautilusCoin,NAUT,25,12829895.2687433,16180000.0,,2014-05-15T00:00:00.000Z,0.48909003,48081.05859375,6274973.8031892,6.55066,18.5698,268.602
Tether,USDT,26,5951591.0,5951591.0,,2015-02-25T00:00:00.000Z,1.0,1161671.75,5951591.0,0.0,0.0,-0.000745301
