name,symbol,cmcRank,circulatingSupply,totalSupply,maxSupply,dateAdded,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d
Bitcoin,BTC,1,11540850.0,11540850.0,21000000.0,2013-04-28T00:00:00.000Z,105.0,0.0,1211789250.0,0.112443,1.85005,-0.512347
Litecoin,LTC,2,20240430.0,20240430.0,84000000.0,2013-04-28T00:00:00.000Z,2.69429994,0.0,54533789.2595745,0.173502,5.04338,-9.95393
XRP,XRP,3,7817889792.0,99999997952.0,100000000000.0,2013-08-04T00:00:00.000Z,0.00441532,0.0,34518516.09806446,0.122584,2.22634,-25.2101
Namecoin,NMC,4,6273643.0,6273643.0,,2013-04-28T00:00:00.000Z,0.67304999,0.0,4222475.33559293,-0.574366,3.39144,9.03297
Peercoin,PPC,5,19927126.0,19927126.0,,2013-04-28T00:00:00.000Z,0.15854999,0.0,3159445.71232586,0.263713,1.6139,-0.808536
Feathercoin,FTC,6,13147650.0,13147650.0,336000000.0,2013-05-03T00:00:00.000Z,0.15225001,0.0,2001729.80183736,0.147127,1.64059,-6.71915
Novacoin,NVC,7,349764.40625,349764.40625,,2013-04-28T00:00:00.000Z,5.14604998,0.0,1799905.11451049,0.362431,0.44754,-6.06244
Primecoin,XPM,8,1530619.125,1530619.125,,2013-07-11T00:00:00.000Z,0.88315499,0.0,1351773.91541411,0.0766849,3.9163,34.395
Terracoin,TRC,9,3630869.75,3630869.75,42000000.0,2013-04-28T00:00:00.000Z,0.1806,0.0,655735.08559324,-1.02018,-0.0659763,5.09566
Devcoin,DVC,10,5056869888.0,5056869888.0,,2013-04-28T00:00:00.000Z,5.67e-05,0.0,286724.5166941,-0.772402,1.46099,-11.0784
Digitalcoin,DGC,11,6846203.5,6846203.5,48166000.0,2013-06-09T00:00:00.000Z,0.03098655,0.0,212140.22249471,0.186485,-0.0773329,-14.0164
Freicoin,FRC,12,23917574.0,23917574.0,,2013-05-03T00:00:00.000Z,0.00661605,0.0,158239.86335381,0.147124,-8.30631,-3.50963
WorldCoin,WDC,13,15504492.0,15504492.0,,2013-05-22T00:00:00.000Z,0.00819,0.0,126981.79614305,1.30303,2.38277,-3.83223
Yacoin,YAC,14,5520628.0,5520628.0,,2013-06-09T00:00:00.000Z,0.021,0.0,115933.18643699,-5.48701,-5.10401,5.83456
Megacoin,MEC,15,15780250.0,15780250.0,42000000.0,2013-07-07T00:00:00.000Z,0.0059241,0.0,93483.77991328,-3.39594,10.7944,-19.3054
Mincoin,MNC,16,1250067.375,1250067.375,,2013-05-03T00:00:00.000Z,0.0700518,0.0,87569.46565772,4.39712,-19.4078,-25.7348
Ixcoin,IXC,17,14698514.0,14698514.0,,2013-05-08T00:00:00.000Z,0.00578445,0.0,85022.82076057,1.38683,3.84591,49.0134
Infinitecoin,IFC,18,70605864960.0,70605864960.0,,2013-07-10T00:00:00.000Z,1.13e-06,0.0,80005.12700379,1.1823,56.1337,37.9781
Bullion,CBX,19,591903.6875,591903.6875,,2013-08-04T00:00:00.000Z,0.12809999,0.0,75822.85814924,5.32229,-2.36962,24.7994
Phoenixcoin,PXC,20,3472800.0,3472800.0,98000000.0,2013-07-04T00:00:00.000Z,0.0206808,0.0,71820.28251886,12.7425,20.2684,-11.974
GoldCoin,GLC,21,25661660.0,25661660.0,72245700.0,2013-06-14T00:00:00.000Z,0.00205168,0.0,52649.41001834,-9.17696,-5.56288,1.69754
BBQCoin,BQC,22,22285962.0,22285962.0,,2013-05-08T00:00:00.000Z,0.0021105,0.0,47034.52031965,-22.5786,-18.0689,-27.974
Fastcoin,FST,23,17146848.0,17146848.0,165888000.0,2013-07-04T00:00:00.000Z,0.00236355,0.0,40527.43278019,1.4913,3.22731,-42.9904
CHNCoin,CNC,24,5256730.0,5256730.0,,2013-05-08T00:00:00.000Z,0.00714,0.0,37533.05159607,0.147124,1.86571,-25.761
Luckycoin,LKY,25,5928440.0,5928440.0,,2013-06-14T00:00:00.000Z,0.0044793,0.0,26555.26265994,0.456777,8.52527,-10.8473
Franko,FRK,26,45285.30078125,45285.30078125,,2013-06-09T00:00:00.000Z,0.46723321,0.0,21158.79648616,0.18197,12.9418,-20.7848
Bytecoin,BTE,27,927750.0,927750.0,,2013-05-10T00:00:00.000Z,0.0186858,0.0,17335.75010765,0.183761,9.19175,4.66377
BitBar,BTB,28,4944.95849609375,4944.95849609375,,2013-05-09T00:00:00.000Z,3.1500001,0.0,15576.61973428,0.147127,1.90433,-6.72409
Anoncoin,ANC,29,375132.8125,375132.8125,,2013-07-15T00:00:00.000Z,0.0399,0.0,14967.79964582,0.183775,0.784261,-57.9941
Bottlecaps,CAP,30,700193.75,700193.75,,2013-07-04T00:00:00.000Z,0.0209979,0.0,14702.59870428,4.87766,11.2426,-25.966
Argentum,ARG,31,392278.0,392278.0,,2013-07-04T00:00:00.000Z,0.03160605,0.0,12398.3574329,0.183765,-12.6468,-27.1234
CraftCoin,CRC,32,93302.0,93302.0,,2013-07-07T00:00:00.000Z,0.1201074,0.0,11206.26039568,-4.5015,16.6209,-11.918
Bitgem,BTG,33,18481.498046875,18481.498046875,,2013-07-04T00:00:00.000Z,0.58910775,0.0,10887.59376515,0.183768,-8.35511,-19.0148
AlphaCoin,ALF,34,10164050.0,10164050.0,,2013-07-07T00:00:00.000Z,0.00105,0.0,10672.25211947,3.73399,21.9383,-6.83896
Krugercoin,KGC,35,9401490.0,9401490.0,,2013-07-07T00:00:00.000Z,0.00100065,0.0,9407.60091434,0.18377,-5.96201,-28.1845
Lebowskis,LBW,36,611238.125,611238.125,,2013-07-25T00:00:00.000Z,0.0152586,0.0,9326.63805658,0.183771,49.5186,236.512
CasinoCoin,CSC,37,2047850.0,2047850.0,,2018-01-16T00:00:00.000Z,0.0037443,0.0,7667.76473287,8.25919,2.87206,-50.3888
Emerald Crypto,EMD,38,1503755.0,1503755.0,32000000.0,2013-08-04T00:00:00.000Z,0.0044205,0.0,6647.3486512,-1.03856,17.4684,-22.0778
Spots,SPT,39,489559.0,489559.0,,2013-07-25T00:00:00.000Z,0.01355865,0.0,6637.75932594,0.183772,-34.0757,48.7659
Memecoin,MEM,40,25673450.0,25673450.0,,2013-06-09T00:00:00.000Z,0.00024109,0.0,6189.61219265,9.77295,14.8587,-2.11911
XenCoin,XNC,41,159515856.0,159515856.0,,2013-07-25T00:00:00.000Z,3.327e-05,0.0,5307.15928626,0.74961,10.9633,-7.07718
GlobalCoin,GLC,42,14320700.0,14320700.0,,2013-08-04T00:00:00.000Z,0.0003696,0.0,5292.93059463,0.183768,5.79757,-43.1926
StableCoin,SBC,43,4229055.0,4229055.0,,2013-07-07T00:00:00.000Z,0.00097755,0.0,4134.11293167,0.183776,-10.8557,-31.9937
Nibble,NBL,44,942154.0,942154.0,,2013-06-14T00:00:00.000Z,0.00420105,0.0,3958.03598298,0.183768,-15.9443,-3.11023
Doubloons,DBL,45,540489.8125,540489.8125,,2013-07-04T00:00:00.000Z,0.005087,0.0,2749.47109294,4.19374,10.3707,0.684281
Hypercoin,HYC,46,512150.0,512150.0,,2013-07-04T00:00:00.000Z,0.00488748,0.0,2503.12446081,-3.76815,-8.71785,1.31629
Elacoin,ELC,47,22533.33984375,22533.33984375,,2013-06-09T00:00:00.000Z,0.084105,0.0,1895.1665453,0.18377,-7.36699,-28.8418
EZCoin,EZC,48,6466571.0,6466571.0,,2013-07-04T00:00:00.000Z,0.00024109,0.0,1559.02563568,1.76729,15.7603,-8.48227
Junkcoin,JKC,49,6621350.0,6621350.0,,2013-06-14T00:00:00.000Z,0.00021853,0.0,1446.99066659,-0.533002,,-26.2868
