name,symbol,cmcRank,circulatingSupply,totalSupply,maxSupply,dateAdded,price,volume24h,marketCap,percentChange1h,percentChange24h,percentChange7d
Bitcoin,BTC,1,16225550.0,16225550.0,21000000.0,2013-04-28T00:00:00.000Z,1036.73693848,406648256.0,16821627032.098349,-1.81586,5.90913,-15.2452
Ethereum,ETH,2,89916363.624,89916363.624,,2015-08-07T00:00:00.000Z,44.74007416,239430224.0,4022864776.5298095,-3.59043,27.0995,87.022
Dash,DASH,3,7174758.48108753,7174758.48108753,18900000.0,2014-02-14T00:00:00.000Z,108.22886658,44670068.0,776515978.3728833,-0.236173,1.65925,39.5751
Monero,XMR,4,14144374.440137,14144374.440137,,2014-05-21T00:00:00.000Z,23.28757095,22162458.0,329388123.3657108,-1.91788,14.1511,38.8224
XRP,XRP,5,37338114912.0,99995788498.0,100000000000.0,2013-08-04T00:00:00.000Z,0.00691246,4241973.0,258098176.81777,0.26361,1.53013,10.1392
Litecoin,LTC,6,50260982.3718871,50260982.3718871,84000000.0,2013-04-28T00:00:00.000Z,3.95641303,6013045.5,198853205.58811688,-0.583098,-0.875063,2.81934
Ethereum Classic,ETC,7,89877499.0,89877499.0,210000000.0,2016-07-24T00:00:00.000Z,1.92196751,6790523.0,172741632.63527954,-3.12885,11.6154,34.6829
NEM,XEM,8,8999999999.0,8999999999.0,,2015-04-01T00:00:00.000Z,0.01647445,2619468.5,148270066.81106132,-4.70525,39.3241,64.8732
Augur,REP,9,11000000.0,11000000.0,,2015-10-27T00:00:00.000Z,8.43370628,1571221.625,92770769.11926274,-0.902716,21.2721,16.2535
MaidSafeCoin,MAID,10,452552412.0,452552412.0,,2014-04-28T00:00:00.000Z,0.16617231,484811.53125,75201680.01940267,-0.924511,7.32249,-4.57769
Zcash,ZEC,11,901106.25,901106.25,21000000.0,2016-10-29T00:00:00.000Z,69.88610077,13536847.0,62974802.19111445,-2.20613,5.02999,72.785
Steem,STEEM,12,234003003.023,250977097.023,,2016-04-18T00:00:00.000Z,0.19807155,1740398.875,46349338.52037477,-3.8325,-2.81996,169.116
Tether,USDT,13,44950862.563746,44950862.563746,,2015-02-25T00:00:00.000Z,1.00004601,33106478.0,44952930.96805704,3.74641e-05,0.00277962,-0.00667563
Factom,FCT,14,8753219.0,8753219.0,,2015-10-06T00:00:00.000Z,3.60081291,1034692.8125,31518703.99665256,-1.32589,6.10419,1.34155
DigixDAO,DGD,15,2000000.0,2000000.0,,2016-04-18T00:00:00.000Z,15.51381969,252153.640625,31027639.389038,0.352972,15.0208,57.1431
Golem,GNT,16,820000000.0,1000000000.0,,2016-11-18T00:00:00.000Z,0.03632393,473314.53125,29785623.47590924,-1.50242,20.2091,51.5935
Waves,WAVES,17,100000000.0,100000000.0,,2016-06-02T00:00:00.000Z,0.27830166,184119.109375,27830165.6246185,3.50035,3.34671,9.50231
Decred,DCR,18,4059639.35441764,4899639.35441764,21000000.0,2016-02-10T00:00:00.000Z,6.37700605,1300367.375,25888344.73987168,1.64158,5.04671,35.3851
Iconomi,ICN,19,87000000.0,100000000.0,,2016-09-30T00:00:00.000Z,0.29731292,188653.828125,25866223.63328936,-4.16391,5.51534,-14.6964
Dogecoin,DOGE,20,108605813689.735,108605813689.735,,2013-12-15T00:00:00.000Z,0.00023508,335531.96875,25530585.94290906,-0.443506,5.73915,5.20093
Melon,MLN,21,599400.0,749400.0,,2017-02-21T00:00:00.000Z,34.10079193,283953.125,20440014.68353269,1.47532,20.3377,-28.5006
Lisk,LSK,22,104575480.0,104575480.0,,2016-04-06T00:00:00.000Z,0.1865548,423163.46875,19509058.22107016,0.84231,7.8366,63.3121
Ardor,ARDR,23,998999495.0,998999495.0,998999495.0,2016-07-23T00:00:00.000Z,0.01683915,124757.4765625,16822306.40681784,-2.41592,11.5442,3.19717
PIVX,PIVX,24,52471354.401028,52471354.401028,,2016-02-13T00:00:00.000Z,0.28654778,719375.4375,15035550.11914536,6.0198,76.7627,323.521
GameCredits,GAME,25,61411175.0,61411175.0,84000000.0,2014-09-01T00:00:00.000Z,0.24139221,187800.4375,14824179.25967983,-0.414142,0.368591,6.97635
Stellar,XLM,26,6987295521.0,102646433897.0,,2014-08-05T00:00:00.000Z,0.00191607,433766.375,13388144.09660795,-0.258036,1.005,1.93668
Peercoin,PPC,27,23958240.2779883,23958240.2779883,,2013-04-28T00:00:00.000Z,0.54634494,314125.75,13089463.24881085,0.118993,5.58196,29.4087
ShadowCash,SDC,28,6641310.93542,6641310.93542,,2014-07-31T00:00:00.000Z,1.89533412,1260686.625,12587503.24774903,-0.823125,-3.23523,-36.5086
BitShares,BTS,29,2589890000.0,2589890000.0,3600570502.0,2014-07-21T00:00:00.000Z,0.00479726,363131.75,12424382.44878779,-0.976293,5.73424,27.7726
Emercoin,EMC,30,39721431.871416,39721431.871416,,2014-08-23T00:00:00.000Z,0.30986109,139865.359375,12308126.3253719,3.04548,16.834,22.1315
SingularDTV,SNGLS,31,600000000.0,1000000000.0,,2016-10-03T00:00:00.000Z,0.0184436,13438.43359375,11066162.95874118,-1.8627,12.3906,45.7685
Stratis,STRAT,32,98312542.35577,98312542.35577,,2016-08-12T00:00:00.000Z,0.10979998,312381.59375,10794715.29425229,1.99171,16.0105,18.48
BitConnect,BCC,33,5683805.73346115,5683805.73346115,28000000.0,2017-01-20T00:00:00.000Z,1.73952007,200786.4375,9887094.16403014,0.122123,9.5275,-2.97087
Siacoin,SC,34,24269699610.0,24269699610.0,,2015-08-26T00:00:00.000Z,0.00040331,123414.7265625,9788263.34892359,-1.19224,7.86639,9.31472
Namecoin,NMC,35,14736400.0,14736400.0,,2013-04-28T00:00:00.000Z,0.63790423,656786.25,9400411.84751988,0.337357,19.9173,60.6549
Obyte,GBYTE,36,137442.0,1000000.0,,2016-12-27T00:00:00.000Z,67.38602448,79718.3984375,9261669.97590638,7.40903,29.5976,29.6927
FirstBlood,1ST,37,85558370.5,93468691.0,,2016-09-28T00:00:00.000Z,0.10363245,90916.8125,8866623.56180026,4.04444,4.15259,14.5572
Nexus,NXS,38,47834064.39655,47834064.39655,78000000.0,2015-01-25T00:00:00.000Z,0.17968383,61002.80859375,8595008.10161145,-2.94893,4.79842,41.0007
Nxt,NXT,39,998999983.0,998999983.0,1000000000.0,2013-12-04T00:00:00.000Z,0.00843139,256481.40625,8422963.04655876,-0.430349,4.86213,1.37364
Komodo,KMD,40,100730824.0,100730824.0,200000000.0,2017-02-05T00:00:00.000Z,0.08137134,22686.73242188,8196601.84365678,-2.15422,-4.66246,1.66738
Zcoin,XZC,41,1676506.11696447,1676506.11696447,21400000.0,2016-10-06T00:00:00.000Z,4.71648884,754285.75,7907222.3878299,-1.54202,8.54045,29.1793
Neo,NEO,42,50000000.0,100000000.0,100000000.0,2016-09-08T00:00:00.000Z,0.15755956,68673.28125,7877977.93745995,2.03866,0.139593,14.9962
Storjcoin X,SJCX,43,50468144.0,500000000.0,,2014-08-20T00:00:00.000Z,0.15457772,36016.39453125,7801250.49008486,-1.94551,1.09956,2.65944
BitCrystals,BCY,44,41351784.306149,41351784.306149,,2015-09-14T00:00:00.000Z,0.18416657,12819.84082031,7615616.09450901,-2.32241,2.94052,-23.6641
Bytecoin,BCN,45,182624505955.31,182624505955.31,184470000000.0,2014-06-17T00:00:00.000Z,4.169e-05,34101.30859375,7612858.29495696,-4.27718,1.29183,-17.8023
Counterparty,XCP,46,2619702.8775785,2619702.8775785,,2014-02-15T00:00:00.000Z,2.89443398,36013.9765625,7582557.0138441,-1.37949,13.7746,-6.78164
Xaurum,XAUR,47,89824043.0993922,89824043.0993922,,2015-04-21T00:00:00.000Z,0.07642747,19104.17382813,6865024.77406117,-2.50615,3.68005,-11.3243
I/O Coin,IOC,48,16319307.7698849,16319307.7698849,22000000.0,2014-08-02T00:00:00.000Z,0.41469461,17064.25585938,6767528.92635228,-2.24757,2.35128,0.14313
Syscoin,SYS,49,523513706.028323,523513706.028323,888000000.0,2014-08-20T00:00:00.000Z,0.01146192,68404.09375,6000470.32208716,-1.69269,9.11819,5.96241
Gulden,NLG,50,342252744.999999,444272899.999999,,2014-04-08T00:00:00.000Z,0.0168965,24559.40429688,5782875.18594279,-4.04013,-5.75543,-15.1089
Round,ROUND,51,850000000.0,1000000000.0,,2016-11-21T00:00:00.000Z,0.00654183,48962.0546875,5560555.12279272,-1.3939,13.3503,747.702
BitcoinDark,BTCD,52,1288862.18407817,1288862.18407817,,2014-07-16T00:00:00.000Z,4.09388685,12318.3359375,5276455.9497784,-2.9571,2.35946,-4.41227
Rubycoin,RBY,53,24128982.3918339,24128982.3918339,,2014-03-20T00:00:00.000Z,0.21650778,5145.20458984,5224112.35272211,-0.502761,8.38457,-14.4333
Novacoin,NVC,54,1671599.341677,1671599.341677,,2013-04-28T00:00:00.000Z,3.0894165,394206.375,5164266.59409575,-0.699537,16.4599,205.851
HyperSpace,AMP,55,82256324.0,949291063.0,,2015-12-04T00:00:00.000Z,0.05818171,236178.953125,4785813.32672645,-2.66896,20.4761,14.5867
YbCoin,YBC,56,3018049.8415903,3018049.8415903,,2014-01-16T00:00:00.000Z,1.36272371,32477.27929688,4112768.07152181,0.0,2.3047,-0.347497
Chrono.tech,TIME,57,710112.8108,710112.8108,,2017-02-26T00:00:00.000Z,5.66906452,167672.171875,4025675.34217454,-2.53154,1.93745,-24.7602
Agoras Tokens,AGRS,58,42000000.0,42000000.0,42000000.0,2015-08-24T00:00:00.000Z,0.09166855,889.31420898,3850079.25331593,-1.86271,13.992,-10.3198
EDC Blockchain,EDC,59,13621634.0,7552460193.0,100000000000.0,2016-08-24T00:00:00.000Z,0.26768649,478984.59375,3646327.34236455,-3.23873,23.8082,59.8118
Nexium,NXC,60,66521586.0,66521586.0,,2016-12-12T00:00:00.000Z,0.05409727,75217.90625,3598635.86640233,-2.09498,1.39149,-5.73669
SolarCoin,SLR,61,34947960.4422455,98034120915.4248,,2014-03-29T00:00:00.000Z,0.09834744,10847.72460938,3437042.45536646,-1.83276,26.5822,10.6566
BlackCoin,BLK,62,76024636.0961224,76024636.0961224,,2014-02-28T00:00:00.000Z,0.04356699,76687.5234375,3312164.60949348,1.1163,5.04314,15.3696
PotCoin,POT,63,216168117.746463,216168117.746463,420000000.0,2014-02-10T00:00:00.000Z,0.01531485,59980.01171875,3310581.69948073,-0.769086,4.11026,-15.7693
NavCoin,NAV,64,60788317.8230065,60788317.8230065,,2014-06-12T00:00:00.000Z,0.05268407,45530.6796875,3202575.91111737,-1.75089,4.61832,24.7031
Boolberry,BBR,65,9256869.0597679,9256869.0597679,18450000.0,2014-06-24T00:00:00.000Z,0.30387571,30099.63867188,2812937.69994465,-2.52392,5.34775,43.8569
Creditbit,CRB,66,12567117.6169102,12567117.6169102,,2016-01-16T00:00:00.000Z,0.218904,188180.96875,2750992.35880881,1.49632,6.25549,-21.3064
Omni,OMNI,67,558348.81063832,614664.81063832,,2013-12-24T00:00:00.000Z,4.73773623,6064.39160156,2645309.3864184,-1.51104,18.967,38.9316
Aeon,AEON,68,13773320.368374,13773320.368374,,2015-08-04T00:00:00.000Z,0.18334746,12450.60546875,2525303.35499886,-1.80728,10.0888,15.7854
Expanse,EXP,69,6631675.16091403,15631675.160914,100000000.0,2015-09-15T00:00:00.000Z,0.36718485,59582.6015625,2435050.63324854,-1.9956,9.89809,43.9029
Golos,GOLOS,70,119862134.337,119862134.337,,2016-12-12T00:00:00.000Z,0.01941861,4388.42773438,2327555.84834822,6.80062,76.2925,52.6022
CloakCoin,CLOAK,71,4969536.144173,4969536.144173,,2014-06-07T00:00:00.000Z,0.45975074,29536.23242188,2284747.92828888,-6.0654,14.9918,-44.036
VPNCoin,VASH,72,400339746.0,400339746.0,,2014-11-23T00:00:00.000Z,0.00550888,243799.75,2205424.79090395,0.0,6.65633,-31.8919
DigiByte,DGB,73,8107031907.79451,8107031907.79451,21000000000.0,2014-02-06T00:00:00.000Z,0.00026891,30450.95703125,2180039.00589596,-0.239084,11.9519,11.394
GridCoin,GRC,74,388146178.23982,388146178.23982,,2015-02-28T00:00:00.000Z,0.00560692,3336.01538086,2176305.65133671,-1.24837,3.20708,-2.22494
BitBay,BAY,75,1007378936.1864,1007378936.1864,,2014-11-16T00:00:00.000Z,0.0021356,24976.22460938,2151362.17199532,-0.74173,12.6069,33.0773
SuperNET,UNITY,76,816060.9997,816060.9997,,2014-10-01T00:00:00.000Z,2.62017226,1206.87072754,2138220.39567043,-2.16138,8.21484,-3.18544
Veros,VRS,77,54418494.89104,10000000000.0,,2016-11-29T00:00:00.000Z,0.03762724,24865.07421875,2047617.49860284,0.180705,-11.4966,-22.9971
Clams,CLAM,78,2177017.33240167,16101187.1304893,,2014-08-26T00:00:00.000Z,0.93762469,104430.75,2041225.20776782,-3.07022,6.1343,5.69651
SIBCoin,SIB,79,13853294.2795738,13853294.2795738,29000000.0,2015-09-25T00:00:00.000Z,0.14694427,5486.08886719,2035662.2086059,-1.51075,3.98937,-13.3171
ZClassic,ZCL,80,829212.5,829212.5,21000000.0,2016-11-09T00:00:00.000Z,2.3784647,56800.1015625,1972252.65904665,-1.91568,10.3968,122.181
ION,ION,81,11766264.99941,17666264.99941,,2016-06-08T00:00:00.000Z,0.16141005,835.80187988,1899193.40544245,-3.18107,-3.95643,-17.8915
Burst,BURST,82,1729907944.0,1729907944.0,2158812800.0,2014-08-30T00:00:00.000Z,0.00109072,88323.1171875,1886847.91983563,-3.94936,12.2376,11.4559
MonaCoin,MONA,83,47145299.9939447,47145299.9939447,,2014-03-20T00:00:00.000Z,0.03982123,1658.71887207,1877383.82858884,-3.2561,-0.93658,-3.1563
LoMoCoin,LMC,84,203547764.546487,288547764.546487,,2016-09-09T00:00:00.000Z,0.00908337,4370.77978516,1848899.03780531,-1.86271,-3.14163,-24.5479
Radium,RADS,85,3169224.06103828,3169224.06103828,9000000.0,2016-01-18T00:00:00.000Z,0.56037652,15237.1953125,1775958.76603406,-0.763412,12.7828,4.28474
