Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date
1215,Netvrk,NETVR,$0.06747,0.13%,0.61%,11.33%,,,"88,754,833 NETVR",100000000.0,,0,,,,,,,1226.0,2024-09-23
1229,Swash,SWASH,$0.005825,0.12%,0.17%,4.98%,,,"990,618,673 SWASH",995582309.239138,995675233.83695,0,,,,,,,935.0,2024-09-23
1247,imgnAI,IMGNAI,$0.007131,0.65%,56.48%,34.68%,,,"776,833,333 IMGNAI",1000000000.0,1000000000.0,0,,,,,,,,2024-09-23
1256,Bad Idea AI,BAD,$0.07102,0.13%,1.87%,7.01%,,,"523,935,084,946,765 BAD",830334329848452.0,831041059897327.0,0,,,,,,,911.0,2024-09-23
1257,SENATE,SENATE,$0.04472,0.04%,2.27%,41.52%,,,"119,266,568 SENATE",191838966.88821703,,0,,,,,,,1060.0,2024-09-23
1285,Effect AI,EFX,$0.01932,0.19%,127.51%,137.80%,,,"252,168,527 EFX",650000000.0,,0,,,,,,,,2024-09-23
1309,Omax Coin,OMAX,$0.0005173,0.09%,0.14%,8.07%,,,"8,667,996,990 OMAX",9000000000.0,,0,,,,,,,1171.0,2024-09-23
1320,TypeAI,TYPE,$0.4561,0.50%,16.09%,34.93%,,,"9,500,000 TYPE",10000000.0,10000000.0,0,,,,,,,3761.0,2024-09-23
1361,Presearch,PRE,$0.009288,0.66%,3.99%,3.40%,,,"396,578,435 PRE",750000000.0,,0,,,,,486.0,634.0,1166.0,2024-09-23
1367,UnMarshal,MARSH,$0.06766,0.30%,2.10%,2.26%,,,"55,535,560 MARSH",100000000.0,,0,,,,,,,1090.0,2024-09-23
1376,Lossless,LSS,$0.06634,0.08%,8.22%,14.83%,,,"55,572,672 LSS",100000000.0,100000000.0,0,,,,,,,1123.0,2024-09-23
1390,Covalent,CQT,$0.00415,1.12%,5.34%,8.24%,,,"856,175,826 CQT",1000000000.0,1000000000.0,0,,,,,,,380.0,2024-09-23
1393,Cogito Finance,CGV,$0.03655,0.06%,12.78%,29.78%,,,"96,787,938 CGV",999999999.0,1000000000.0,0,,,,,,,3309.0,2024-09-23
1425,Edge Matrix Computing,EMC,$0.1066,0.62%,0.54%,5.54%,,,"30,006,982 EMC",979882446.992401,1000000000.0,0,,,,,,,3464.0,2024-09-23
1440,Ispolink,ISP,$0.00111,0.74%,10.71%,50.26%,,,"2,756,425,785 ISP",10000000000.0,,0,,,,,,,1159.0,2024-09-23
1455,Mozaic,MOZ,$0.01901,1.14%,1.74%,8.94%,,,"153,438,514 MOZ",975447845.1997676,,0,,,,,,,1497.0,2024-09-23
1464,Bridge Oracle,BRG,$0.0003486,4.36%,11.05%,28.39%,,,"8,002,167,205 BRG",10000000000.0,10000000000.0,0,,,,,,224.0,1032.0,2024-09-23
1467,Crypto-AI-Robo.com,CAIR,$0.003201,1.34%,92.85%,62.19%,,,"858,632,919 CAIR",888000000.0,888000000.0,0,,,,,,,5485.0,2024-09-23
1472,Lambda,LAMB,$0.001639,1.01%,0.50%,4.25%,,,"1,646,414,198 LAMB",6000000000.0,10000000000.0,0,,,,,248.0,422.0,1033.0,2024-09-23
1481,PolkaBridge,PBR,$0.03473,0.68%,7.30%,20.88%,,,"75,041,974 PBR",75040481.48974904,100000000.0,0,,,,,,,1161.0,2024-09-23
1486,Morpheus Infrastructure Node,MIND,$0.001878,4.46%,4.27%,12.96%,,,"1,366,201,800 MIND",2100000000.0,2100000000.0,0,,,,,,,3248.0,2024-09-23
1495,B-cube.ai,BCUBE,$0.09427,0.00%,45.13%,61.07%,,,"26,739,748 BCUBE",49613808.9,50000000.0,0,,,,,,,1328.0,2024-09-23
1514,AXIS Token,AXIS,$0.007447,0.00%,0.53%,4.88%,,,"320,303,188 AXIS",1500000000.0,,0,,,,,,,1387.0,2024-09-23
1550,ClinTex CTi,CTI,$0.01714,0.22%,4.90%,18.18%,,,"124,445,175 CTI",181311840.0,191311840.0,0,,,,,,3143.0,1247.0,2024-09-23
1561,ROOBEE,ROOBEE,$0.0005087,0.70%,8.15%,15.07%,,,"4,102,063,740 ROOBEE",5400000000.0,,0,,,,,442.0,775.0,1351.0,2024-09-23
1568,Chirpley,CHRP,$0.004871,0.22%,0.54%,14.53%,,,"413,029,583 CHRP",989982098.0,,0,,,,,,,1134.0,2024-09-23
1587,PureFi Protocol,UFI,$0.03214,0.75%,3.71%,14.13%,,,"58,422,831 UFI",100000000.0,100000000.0,0,,,,,,,1137.0,2024-09-23
1617,Neurahub,NEURA,$0.02047,0.00%,10.10%,28.89%,,,"82,343,569 NEURA",100000000.0,,0,,,,,,,4336.0,2024-09-23
1624,MBD Financials,MBD,$0.00006239,0.49%,2.11%,13.86%,,,"26,223,242,792 MBD",40000000000.0,40000000000.0,0,,,,,,,3081.0,2024-09-23
1628,Dock,DOCK,$0.001854,1.34%,0.61%,1.36%,,,"876,417,166 DOCK",869619708.773492,1000000000.0,0,,,,,448.0,524.0,773.0,2024-09-23
1630,DxChain Token,DX,$0.00003201,0.02%,0.15%,10.33%,,,"50,000,000,000 DX",100000000000.0,,0,,,,,72.0,144.0,1414.0,2024-09-23
1635,Dotmoovs,MOOV,$0.002114,0.79%,1.97%,25.83%,,,"731,180,094 MOOV",1000000000.0,,0,,,,,,,1364.0,2024-09-23
1648,Deri Protocol,DERI,$0.01186,0.08%,0.03%,4.39%,,,"124,695,829 DERI",483012978.592577,,0,,,,,,,1562.0,2024-09-23
1681,WAM,WAM,$0.002772,0.18%,0.17%,5.10%,,,"464,780,364 WAM",1000000000.0,,0,,,,,,,1468.0,2024-09-23
1714,TrustVerse,TRV,$0.00115,2.24%,6.00%,0.30%,,,"1,000,000,000 TRV",1000000000.0,,0,,,,,447.0,752.0,1881.0,2024-09-23
1722,GNY,GNY,$0.006039,0.51%,0.35%,13.60%,,,"192,376,657 GNY",375000000.0,,0,,,,,847.0,260.0,1332.0,2024-09-23
1734,LBRY Credits,LBC,$0.001799,7.75%,8.93%,14.35%,,,"654,237,215 LBC",767800721.0,1083202000.0,0,,,,94.0,263.0,184.0,1545.0,2024-09-23
1798,Uno Re,UNO,$0.01159,0.06%,0.06%,7.68%,,,"78,242,153 UNO",382605499.0,384649206.0,0,,,,,,,1342.0,2024-09-23
1811,ApeBond,ABOND,$0.005992,0.50%,0.63%,2.20%,,,"144,282,792 ABOND",455803142.6928761,,0,,,,,,,1368.0,2024-09-23
1822,GoCrypto Token,GOC,$0.00334,0.02%,4.58%,3.18%,,,"245,278,438 GOC",299095759.0,,0,,,,,796.0,650.0,1556.0,2024-09-23
1824,Lithium,LITH,$0.0001561,1.61%,0.40%,17.77%,,,"5,242,220,240 LITH",10000000000.0,,0,,,,,,,1140.0,2024-09-23
1856,AIgentX,AIX,$0.009806,0.88%,6.87%,66.05%,,,"74,253,480 AIX",88907380.72963169,100000000.0,0,,,,,,,2732.0,2024-09-23
1861,TRAVA.FINANCE,TRAVA,$0.0001973,0.00%,6.77%,8.10%,,,"3,673,771,603 TRAVA",4745402992.914396,5000000000.0,0,,,,,,,1628.0,2024-09-23
1877,XMON,XMON,$463.71,2.10%,7.69%,2.61%,,,"1,495 XMON",10000.0,10000.0,0,,,,,,,1720.0,2024-09-23
1895,Idena,IDNA,$0.009172,0.22%,0.62%,21.17%,,,"69,780,939 IDNA",124405106.627625,,0,,,,,,914.0,1575.0,2024-09-23
1932,aiRight,AIRI,$0.002182,0.00%,5.57%,19.42%,,,"256,262,565 AIRI",1860000000.0,1900000000.0,0,,,,,,,1651.0,2024-09-23
1958,Aimedis (new),AIMX,$0.001579,0.81%,2.05%,1.41%,,,"333,000,000 AIMX",588000000.0,600000000.0,0,,,,,,,1469.0,2024-09-23
