A,Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply,B,URL
,317,NetMind Token,NMT,$3.61,0.58%,4.70%,76.94%,"$120,857,453","$10,535,989
2,905,279 NMT","33,450,208 NMT",,https://coinmarketcap.com/currencies/netmind-token/
,326,Numeraire,NMR,$15.95,0.15%,0.08%,13.64%,"$117,073,337","$4,387,670
274,713 NMR","7,339,192 NMR",,https://coinmarketcap.com/currencies/numeraire/
,328,Solidus Ai Tech,AITECH,$0.1125,1.01%,28.98%,41.54%,"$115,039,110","$6,481,197
57,113,704 AITECH","1,022,166,148 AITECH",,https://coinmarketcap.com/currencies/solidus-ai-tech/
,331,Sleepless AI,AI,$0.5293,1.19%,5.80%,31.71%,"$115,133,146","$26,823,795
50,904,351 AI","217,500,000 AI",,https://coinmarketcap.com/currencies/sleepless-ai/
,336,Marlin,POND,$0.01376,0.00%,2.89%,12.74%,"$111,286,220","$5,072,846
368,237,755 POND","8,087,375,977 POND",,https://coinmarketcap.com/currencies/marlin/
,345,inSure DeFi,SURE,$0.00393,0.00%,2.26%,2.92%,"$105,295,985","$477,457
121,477,637 SURE","26,790,063,175 SURE",,https://coinmarketcap.com/currencies/insure/
,363,Nosana,NOS,$2.05,0.01%,0.56%,7.88%,"$98,974,208","$1,350,393
658,066 NOS","48,197,665 NOS",,https://coinmarketcap.com/currencies/nosana/
,372,ChainGPT,CGPT,$0.1704,1.19%,12.94%,36.40%,"$95,241,956","$9,949,406
58,282,954 CGPT","558,957,852 CGPT",,https://coinmarketcap.com/currencies/chaingpt/
,380,dKargo,DKA,$0.02173,0.37%,0.53%,12.53%,"$93,004,843","$1,326,125
60,831,555 DKA","4,279,583,333 DKA",,https://coinmarketcap.com/currencies/dkargo/
,382,Phala Network,PHA,$0.1235,0.11%,1.83%,19.82%,"$92,877,403","$7,152,375
57,920,016 PHA","752,185,441 PHA",,https://coinmarketcap.com/currencies/phala-network/
,391,Hooked Protocol,HOOK,$0.4836,0.59%,4.43%,19.42%,"$90,268,670","$14,132,798
29,128,030 HOOK","186,660,920 HOOK",,https://coinmarketcap.com/currencies/hooked-protocol/
,393,Oraichain,ORAI,$6.51,0.47%,1.26%,21.70%,"$90,052,094","$2,036,366
311,704 ORAI","13,823,700 ORAI",,https://coinmarketcap.com/currencies/oraichain-token/
,402,Phoenix,PHB,$1.69,0.73%,16.00%,38.55%,"$87,457,093","$23,829,272
14,022,304 PHB","51,641,767 PHB",,https://coinmarketcap.com/currencies/phoenix-global-new/
,420,CUDOS,CUDOS,$0.01179,0.53%,2.63%,31.39%,"$80,766,779","$1,346,706
113,823,763 CUDOS","6,850,733,935 CUDOS",,https://coinmarketcap.com/currencies/cudos/
,438,Artificial Liquid Intelligence,ALI,$0.01235,3.35%,8.61%,32.16%,"$76,295,039","$1,056,917
85,571,057 ALI","6,179,259,839 ALI",,https://coinmarketcap.com/currencies/alethea-artificial-liquid-intelligence-token/
,450,NFPrompt,NFP,$0.2464,0.49%,2.65%,18.68%,"$72,152,314","$8,653,150
35,047,758 NFP","292,859,589 NFP",,https://coinmarketcap.com/currencies/nfprompt/
,456,HashAI,HASHAI,$0.000839,0.31%,9.52%,73.00%,"$70,947,293","$586,811
699,032,191 HASHAI","84,564,818,695 HASHAI",,https://coinmarketcap.com/currencies/hashai/
,461,Node AI,GPU,$0.7545,1.35%,4.54%,10.70%,"$71,731,839","$1,119,941
1,519,440 GPU","95,069,916 GPU",,https://coinmarketcap.com/currencies/node-ai/
,506,TokenFi,TOKEN,$0.0594,0.92%,1.19%,15.92%,"$59,401,550","$6,792,332
114,220,731 TOKEN","1,000,019,789 TOKEN",,https://coinmarketcap.com/currencies/tokenfi/
,521,LimeWire,LMWR,$0.1878,1.73%,1.39%,4.61%,"$56,062,644","$4,529,307
24,091,881 LMWR","298,482,486 LMWR",,https://coinmarketcap.com/currencies/limewire/
,530,PlatON,LAT,$0.008976,0.41%,0.99%,5.51%,"$53,860,995","$8,150,446
900,455,853 LAT","6,000,785,215 LAT",,https://coinmarketcap.com/currencies/platon/
