Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
1,Bitcoin,BTC,134.21002197,0.0,1488566971.9558687,11091325.0,11091325.0,21000000.0,0.639231,,,2013-04-28T00:00:00.000Z,2024-09-23
2,Litecoin,LTC,4.34840488,0.0,74637021.56790735,17164230.0,17164230.0,84000000.0,0.799273,,,2013-04-28T00:00:00.000Z,2024-09-23
3,Peercoin,PPC,0.38652486,0.0,7250186.64768828,18757362.0,18757362.0,,-0.934763,,,2013-04-28T00:00:00.000Z,2024-09-23
4,Namecoin,NMC,1.10723269,0.0,5995997.18538521,5415300.0,5415300.0,,-0.0505028,,,2013-04-28T00:00:00.000Z,2024-09-23
5,Terracoin,TRC,0.64689231,0.0,1503099.40113884,2323569.75,2323569.75,42000000.0,0.609159,,,2013-04-28T00:00:00.000Z,2024-09-23
6,Devcoin,DVC,0.00032613,0.0,1424087.29757242,4366620160.0,4366620160.0,,0.461694,,,2013-04-28T00:00:00.000Z,2024-09-23
7,Novacoin,NVC,4.24640512,0.0,1162266.29565105,273705.9375,273705.9375,,2.13819,,,2013-04-28T00:00:00.000Z,2024-09-23
